CFW_GROUP_ID,DESCRIPTION,BLANK
5-CORPS-1AD-CFW-GRP-A,5-CORPS-1AD CFW Group A, 
SMALL-1AD-CFW-GRP,A CFW with just the units in the SMALL-1AD, 
