ORG_GROUP_ID,DESCRIPTION,BLANK
10-TCBN-OG,10-TCBN Org Group, 
10-TCBN--OG,10-TCBN Org Group without 10-TCBN-HHC, 
180-TCBN-OG,180-TCBN Org Group, 
180-TCBN--OG,180-TCBN-Org Group without 180-TCBN-HHD, 
1-BDE-OG,1-BDE Org Group, 
21-MED-OG,21-MED Org Group, 
21-MED--OG,21-MED Org Group without 21-MED-CSHOSP, 
24-CSB-OG,24-CSB Org Group, 
24-CSB--OG,24-CSB Org Group without 24-CSB-HHD, 
24-SPTGP-OG,24-SPTGP Org Group, 
24-SPTGP--OG,24-SPTGP Org Group without 24-SPTGP-HHC, 
2-BDE-OG,2-BDE Org Group, 
3-BDE-OG,3-BDE Org Group, 
3ID-DIV-OG,3ID-DIV Org Group, 
3ID-OG,3ID Org Group, 
553-CSB-OG,553-CSB Org Group, 
553-CSB--OG,553-CSB Org Group without 553-CSB-HHD, 
AVNBDE-3ID-OG,AVNBDE-3ID Org Group, 
DISCOM-3ID-OG,DISCOM-3ID Org Group, 
DIVARTY-3ID-OG,DIVARTY-3ID Org Group, 
IBCT-OG,IBCT Org Group, 
SMALL-3ID-OG,20 Org Subset of 3ID  --  CLONABLE, 
103-MIBN,103-MIBN Solo Org Group, 
10-ENGBN,10-ENGBN Solo Org Group, 
10-TCBN-HHC,10-TCBN-HHC Solo Org Group, 
1-10-FABN,1-10-FABN Solo Org Group, 
110-QMCO-POLSPLY,110-QMCO-POLSPLY Solo Org Group, 
1-14-CAVSQDN,1-14-CAVSQDN Solo Org Group, 
1-15-INFBN,1-15-INFBN Solo Org Group, 
119-TCCO-CGO,119-TCCO-CGO Solo Org Group, 
11-ENGBN,11-ENGBN Solo Org Group, 
1-23-INFBN,1-23-INFBN Solo Org Group, 
123-SIGBN,123-SIGBN Solo Org Group, 
126-MEDTM-FSURG,126-MEDTM-FSURG Solo Org Group, 
12-FABTRY,12-FABTRY Solo Org Group, 
1-30-INFBN,1-30-INFBN Solo Org Group, 
1-37-FABN,1-37-FABN Solo Org Group, 
1-3-ADABN,1-3-ADABN Solo Org Group, 
1-3-AVNBN,1-3-AVNBN Solo Org Group, 
1-41-FABN,1-41-FABN Solo Org Group, 
147-MEDLOGBN,147-MEDLOGBN Solo Org Group, 
157-QMCO-FSVC,157-QMCO-FSVC Solo Org Group, 
1-64-ARBN,1-64-ARBN Solo Org Group, 
180-TCBN-HHD,180-TCBN-HHD Solo Org Group, 
186-WTRPURDET,186-WTRPURDET Solo Org Group, 
18-ENGCO,18-ENGCO Solo Org Group, 
18-QMPLT,18-QMPLT Solo Org Group, 
1-9-FABN,1-9-FABN Solo Org Group, 
1-BDE-3ID-HHC,1-BDE-3ID-HHC Solo Org Group, 
