CFW_ID,CFW_GROUP_ID,BLANK
3ID-CFW,3ID-TRANS-STUB-CFW-GRP, 
TRANSCOM-STUB-CFW,3ID-TRANS-STUB-CFW-GRP, 
3ID-CFW,3ID-TRANS-CFW-GRP, 
TRANSCOM-CFW,3ID-TRANS-CFW-GRP, 
3ID-CFW,SMALL-3ID-TRANS-STUB-CFW-GRP, 
TRANSCOM-STUB-CFW,SMALL-3ID-TRANS-STUB-CFW-GRP, 
3ID-CFW,SMALL-3ID-TRANS-CFW-GRP, 
TRANSCOM-CFW,SMALL-3ID-TRANS-CFW-GRP, 
