CFW_ID,PLUGIN_GROUP_ID,PLUGIN_CLASS,PLUGIN_CLASS_ORDER,BLANK
3ID-CFW,AmmoPacking,org.cougaar.domain.glm.packer.AmmoPacker,0, 
3ID-CFW,AmmoPacking,org.cougaar.domain.mlm.plugin.generic.GenericTablePlugIn,1, 
3ID-CFW,AntsAssets,mil.darpa.log.alpine.blackjack.plugins.AntsMEILDMPlugIn,1, 
3ID-CFW,AntsAssets,mil.darpa.log.alpine.blackjack.plugins.AntsPartsLDMPlugIn,2, 
3ID-CFW,BlackJack-Sourcing,org.cougaar.domain.mlm.plugin.generic.GenericTablePlugIn,0, 
3ID-CFW,ConstructionExpander,org.cougaar.domain.mlm.construction.DTConstructionExpanderPlugIn,0, 
3ID-CFW,Demand,mil.darpa.log.alpine.blackjack.plugins.SupplyProjectionPlugIn,0, 
3ID-CFW,DIVPolicy,org.cougaar.domain.mlm.plugin.ldm.XMLPolicyPlugIn,0, 
3ID-CFW,DLAHQ,org.cougaar.domain.mlm.plugin.sample.UniversalAllocatorPlugIn,0, 
3ID-CFW,GLS,org.cougaar.domain.mlm.plugin.ldm.GetOplanPlugIn,2, 
3ID-CFW,GLS,org.cougaar.domain.mlm.plugin.organization.GLSAllocatorPlugIn,1, 
3ID-CFW,GLS,org.cougaar.domain.mlm.plugin.organization.GLSExpanderPlugIn,0, 
3ID-CFW,GLSInit,org.cougaar.domain.mlm.plugin.ldm.SQLOplanPlugIn,0, 
3ID-CFW,GLSInit,org.cougaar.domain.mlm.plugin.organization.GLSAllocatorPlugIn,4, 
3ID-CFW,GLSInit,org.cougaar.domain.mlm.plugin.organization.GLSExpanderPlugIn,3, 
3ID-CFW,GLSInit,org.cougaar.domain.mlm.plugin.organization.GLSGUIInitPlugIn,1, 
3ID-CFW,GLSInit,org.cougaar.domain.mlm.plugin.organization.GLSRescindPlugIn,2, 
3ID-CFW,ICP,org.cougaar.domain.mlm.plugin.sample.UniversalAllocatorPlugIn,0, 
3ID-CFW,InventoryManagement,mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn,0, 
3ID-CFW,InventoryPolicy,org.cougaar.domain.mlm.plugin.ldm.XMLPolicyPlugIn,1, 
3ID-CFW,LDMSQLAssets,org.cougaar.domain.mlm.plugin.ldm.LDMSQLPlugIn,0, 
3ID-CFW,NCAPolicy,mil.darpa.log.alpine.blackjack.plugins.LimitResourcesPolicyPlugIn,1, 
3ID-CFW,NCAPolicy,org.cougaar.domain.mlm.plugin.ldm.XMLPolicyPlugIn,0, 
3ID-CFW,Org,org.cougaar.domain.mlm.plugin.organization.OrgReportPlugIn,1, 
3ID-CFW,Org,org.cougaar.domain.mlm.plugin.organization.OrgDataPlugIn,0, 
3ID-CFW,PartsAssets,mil.darpa.log.alpine.blackjack.plugins.AntsPartsLDMPlugIn,0, 
3ID-CFW,PolicyTransfer,org.cougaar.domain.mlm.plugin.generic.PropagationPlugIn,0, 
3ID-CFW,PrepoAssets,org.cougaar.domain.mlm.plugin.xml.XMLPrototypeProviderPlugIn,0, 
3ID-CFW,PrototypeProvider,org.cougaar.domain.mlm.plugin.xml.XMLPrototypeProviderPlugIn,0, 
3ID-CFW,Sourcing,org.cougaar.domain.mlm.plugin.generic.GenericTablePlugIn,1, 
3ID-CFW,Sourcing,org.cougaar.domain.mlm.plugin.sample.UniversalAllocatorPlugIn,0, 
3ID-CFW,StrategicTransport,org.cougaar.domain.mlm.plugin.generic.GenericTablePlugIn,1, 
3ID-CFW,StrategicTransport,org.cougaar.domain.mlm.plugin.sample.StrategicTransportProjectorPlugIn,0, 
3ID-CFW,SubsistenceAssets,mil.darpa.log.alpine.blackjack.plugins.SubsistenceConsumerLDMPlugIn,2, 
3ID-CFW,SubsistenceAssets,mil.darpa.log.alpine.blackjack.plugins.SubsistenceLDMPlugIn,3, 
3ID-CFW,SubsistenceDemand,mil.darpa.log.alpine.blackjack.plugins.SubsistenceInventoryPlugIn,0, 
3ID-CFW,SubsistenceDemand,mil.darpa.log.alpine.blackjack.plugins.SubsistenceProjectionPlugIn,1, 
3ID-CFW,SubsistenceInventoryManagement,mil.darpa.log.alpine.blackjack.plugins.SubsistenceInventoryPlugIn,0, 
3ID-CFW,TheaterConstruction,org.cougaar.domain.mlm.construction.ConstructionInventoryPlugIn,1, 
3ID-CFW,TheaterConstruction,org.cougaar.domain.mlm.construction.ConstructionProjectionPlugIn,0, 
