CFW_GROUP_ID,DESCRIPTION,BLANK
3ID-TRANS-STUB-CFW-GRP,3ID with TRANSCOM-STUB, 
3ID-TRANS-CFW-GRP,3ID with 7 Org TRANSCOM, 
SMALL-3ID-TRANS-STUB-CFW-GRP,SMALL-3ID with TRANSCOM-STUB, 
SMALL-3ID-TRANS-CFW-GRP,SMALL-3ID with 7 Org TRANSCOM, 
