rln,svccode,uic,ulc,utc,unitname,describe,pax,origin,origname,poe,poename,pod,podname,dest,destname,rld,ald,ead,lad,rdd,fdsvcres,nonbaselne,baseline,provorg
DAA5,A,WAT6AA,CPS,CDN66,HHC V CORPS,HHC CORPS,150,KKLD,Heidelberg,TYFR,Ramstein Ab,FGQS,Diyarbakir,FGQS,Diyarbakir,-5,-4,-3,1,1,,,,7
DAA51,A,WGN3AA,DET,GRBBB,503 CM DET NBC ELE,NBC RECON DETACHMENT,21,KKLD,Heidelberg,TYFR,Ramstein Ab,FGQS,Diyarbakir,FGQS,Diyarbakir,-5,-4,-3,1,1,,,                              C000,
3LA2Z,F,,ELE,LWRR6,,SVS PORT MORTUARY SUPT R-6,20,FJXT,Dover Afb,FJXT,Dover Afb,ABQH,Adana,ABQH,Adana,-4,-3,-2,2,2,,L,,
3LAEC,F,,SQ,3MKAD,,AES 03  C  9A,0,VDYD,Scott Afb,VDYD,Scott Afb,ABQH,Adana,ABQH,Adana,-4,-3,-2,2,2,,,                              C000,
3LAEP,F,,SQ,3MKAD,,AES 03  C  9A,79,VDYD,Scott Afb,VDYD,Scott Afb,ABQH,Adana,ABQH,Adana,-4,-3,-2,2,2,,,                              C000,
W8AQZ,N,,MSC,MMPSP,AIR FORCE AEF SUPPORT SHIP,AF SHIP TO CYPRUS,0,TRZP,Praia-azores,TRZP,Praia-azores,NFQA,Limassol,ADJC,Akrotiri,-5,-5,1,2,3,,,,N
3LA2C,F,,ELE,,,TEW 05 EC130H COMPASS CALL,0,FBNV,Davis Monthan Afb,FBNV,Davis Monthan Afb,GCPM,Erhac,GCPM,Erhac,-3,-2,-1,3,3,,3,,
3LA2P,F,,ELE,3DCAN,,TEW 05 EC130H COMPASS CALL,231,FBNV,Davis Monthan Afb,FBNV,Davis Monthan Afb,GCPM,Erhac,GCPM,Erhac,-3,-2,-1,3,3,,3,,
3LA3C,F,,ELE,,,TEW 05 EC130H COMPASS CALL,0,FBNV,Davis Monthan Afb,FBNV,Davis Monthan Afb,GDLN,Erzurum,GDLN,Erzurum,-3,-2,-1,3,3,,3,,
3LA3P,F,,ELE,3DCAN,,TEW 05 EC130H COMPASS CALL,231,FBNV,Davis Monthan Afb,FBNV,Davis Monthan Afb,GDLN,Erzurum,GDLN,Erzurum,-3,-2,-1,3,3,,3,,
3LGKC,F,,ELE,HEDDA,,ILM 04-05 EC130H COMPASS CALL,0,FBNV,Davis Monthan Afb,FBNV,Davis Monthan Afb,GCPM,Erhac,GCPM,Erhac,-3,-2,-1,3,3,,H,,
3LGKP,F,,ELE,HEDDA,,ILM 04-05 EC130H COMPASS CALL,13,FBNV,Davis Monthan Afb,FBNV,Davis Monthan Afb,GCPM,Erhac,GCPM,Erhac,-3,-2,-1,3,3,,H,,
3LGMC,F,,ELE,HEDDA,,ILM 04-05 EC130H COMPASS CALL,0,FBNV,Davis Monthan Afb,FBNV,Davis Monthan Afb,GDLN,Erzurum,GDLN,Erzurum,-3,-2,-1,3,3,,H,,
3LGMP,F,,ELE,HEDDA,,ILM 04-05 EC130H COMPASS CALL,13,FBNV,Davis Monthan Afb,FBNV,Davis Monthan Afb,GDLN,Erzurum,GDLN,Erzurum,-3,-2,-1,3,3,,H,,
W8ANZ,N,,MSC,MMPSP,AIR FORCE AEF SUPPORT SHIP,AF SHIP FOR TURKEY,0,FGDB,Diego Garcia East,FGDB,Diego Garcia East,QBAL,Mersin,QBAL,Mersin,-5,-5,2,3,3,,,,N
3LA3Z,F,,ELE,LWRR6,,SVS PORT MORTUARY SUPT R-6,20,FJXT,Dover Afb,FJXT,Dover Afb,LJYC,Incirlik Ab,LJYC,Incirlik Ab,-2,-1,0,4,4,,L,,
3LCCC,F,,ELE,3AGEM,,TSE 03  E  3 AWACS,0,WWYK,Tinker Afb,WWYK,Tinker Afb,FFTJ,Dhahran Intl,FFTJ,Dhahran Intl,-2,-1,0,4,4,,3,,
3LCCP,F,,ELE,3AGEM,,TSE 03  E  3 AWACS,195,WWYK,Tinker Afb,WWYK,Tinker Afb,FFTJ,Dhahran Intl,FFTJ,Dhahran Intl,-2,-1,0,4,4,,3,,
3LCCZ,F,,ELE,3AGEL,,TSE AWACS CREWS/PERSON AUG VDEP,231,WWYK,Tinker Afb,WWYK,Tinker Afb,FFTJ,Dhahran Intl,FFTJ,Dhahran Intl,-2,-1,0,4,4,,3,,
3LADC,F,,SQ,3MKAD,,AES 03  C  9A,0,VDYD,Scott Afb,VDYD,Scott Afb,LJYC,Incirlik Ab,LJYC,Incirlik Ab,-2,-1,0,5,5,,,                              C000,
3LADP,F,,SQ,3MKAD,,AES 03  C  9A,79,VDYD,Scott Afb,VDYD,Scott Afb,LJYC,Incirlik Ab,LJYC,Incirlik Ab,-2,-1,0,5,5,,,                              C000,
3LE1C,F,,TM,4F9R1,,"CES TM RED HORSE, R-1",0,MBPB,Kelly Afb,MBPB,Kelly Afb,LJYC,Incirlik Ab,LJYC,Incirlik Ab,0,1,2,6,6,,,                              C000,
3LE1P,F,,TM,4F9R1,,"CES TM RED HORSE, R-1",16,MBPB,Kelly Afb,MBPB,Kelly Afb,LJYC,Incirlik Ab,LJYC,Incirlik Ab,0,1,2,6,6,,,                              C000,
3LE2C,F,,TM,4F9R1,,"CES TM RED HORSE, R-1",0,MBPB,Kelly Afb,MBPB,Kelly Afb,ABQH,Adana,ABQH,Adana,0,1,2,6,6,,,                              C000,
3LE2P,F,,TM,4F9R1,,"CES TM RED HORSE, R-1",16,MBPB,Kelly Afb,MBPB,Kelly Afb,ABQH,Adana,ABQH,Adana,0,1,2,6,6,,,                              C000,
3LE3C,F,,TM,4F9R1,,"CES TM RED HORSE, R-1",0,MBPB,Kelly Afb,MBPB,Kelly Afb,FGQS,Diyarbakir,FGQS,Diyarbakir,0,1,2,6,6,,,                              C000,
3LE3P,F,,TM,4F9R1,,"CES TM RED HORSE, R-1",16,MBPB,Kelly Afb,MBPB,Kelly Afb,FGQS,Diyarbakir,FGQS,Diyarbakir,0,1,2,6,6,,,                              C000,
3LE4C,F,,TM,4F9R1,,"CES TM RED HORSE, R-1",0,MBPB,Kelly Afb,MBPB,Kelly Afb,AYYM,Batman,AYYM,Batman,0,1,2,6,6,,,                              C000,
3LE4P,F,,TM,4F9R1,,"CES TM RED HORSE, R-1",16,MBPB,Kelly Afb,MBPB,Kelly Afb,AYYM,Batman,AYYM,Batman,0,1,2,6,6,,,                              C000,
3LE5C,F,,TM,4F9R1,,"CES TM RED HORSE, R-1",0,MBPB,Kelly Afb,MBPB,Kelly Afb,FFTJ,Dhahran Intl,FFTJ,Dhahran Intl,0,1,2,6,6,,,                              C000,
3LE5P,F,,TM,4F9R1,,"CES TM RED HORSE, R-1",16,MBPB,Kelly Afb,MBPB,Kelly Afb,FFTJ,Dhahran Intl,FFTJ,Dhahran Intl,0,1,2,6,6,,,                              C000,
3LE6C,F,,TM,4F9R1,,"CES TM RED HORSE, R-1",0,MBPB,Kelly Afb,MBPB,Kelly Afb,LJYC,Incirlik Ab,LJYC,Incirlik Ab,0,1,2,6,6,,,                              C000,
3LE6P,F,,TM,4F9R1,,"CES TM RED HORSE, R-1",16,MBPB,Kelly Afb,MBPB,Kelly Afb,LJYC,Incirlik Ab,LJYC,Incirlik Ab,0,1,2,6,6,,,                              C000,
3LF1C,F,,TM,4F9R2,,"CES TM RED HORSE, R-2",0,NZAS,Malmstrom Afb,NZAS,Malmstrom Afb,LJYC,Incirlik Ab,LJYC,Incirlik Ab,0,1,2,6,6,,,                              C000,
3LF1P,F,,TM,4F9R2,,"CES TM RED HORSE, R-2",148,NZAS,Malmstrom Afb,NZAS,Malmstrom Afb,LJYC,Incirlik Ab,LJYC,Incirlik Ab,0,1,2,6,6,,,                              C000,
NA3GZ,N,,MSC,MSAVB,USS CURTIS,TAVB AIRCRAFT REPAIR SHIP,0,SBDZ,Norfolk,SBDZ,Norfolk,LQCN,Iskenderun,LQCN,Iskenderun,-10,-9,4,7,7,,,,
AAA3P,A,WDHZAA,BND,L4444,1ST AD DIVISION   ARMY BAND,DIVISION   ARMY BAND  DS,41,ATHR,Bad Kreuznach,VGWU,Sembach Ab,FJHY,Dortyol Airport,UWCP,Sanliurfa,2,3,4,9,9,02001,,                              C000,7
AAA4P,A,WDJ0AA,BN,NTUTT,123 CS BN,MAIN SUPPORT BN  HVY DIV,1111,ATHR,Bad Kreuznach,VGWU,Sembach Ab,FJHY,Dortyol Airport,UWCP,Sanliurfa,2,3,4,9,9,02001,,                              C000,7
AAA5P,A,WDJUAA,HHC,3E322,HHC  DIV AVN BDE 1ST AD,HHC  DIV AVN BDE  HVY,81,ATHR,Bad Kreuznach,VGWU,Sembach Ab,FJHY,Dortyol Airport,UWCP,Sanliurfa,2,3,4,9,9,02001,,                              C000,7
AAA6P,A,WDKXAA,BN,4YD77,40TH ENGR BN  HVY DIV,ENGR BN  HVY DIV,441,ATHR,Bad Kreuznach,VGWU,Sembach Ab,FJHY,Dortyol Airport,UWCP,Sanliurfa,2,3,4,9,9,02001,,                              C000,7
AAA7P,A,WDKYAA,HHD,42B77,HHD  ENGINEER BRIGADE 1ST AD,HHD  ENGINEER BRIGADE,60,ATHR,Bad Kreuznach,VGWU,Sembach Ab,FJHY,Dortyol Airport,UWCP,Sanliurfa,2,3,4,9,9,02001,,                              C000,7
AAA8P,A,WDUVAA,BN,3TF77,501ST  AVIATION BN  UH60,COMMAND AVIATION BN  UH60,230,ATHR,Bad Kreuznach,VGWU,Sembach Ab,FJHY,Dortyol Airport,UWCP,Sanliurfa,2,3,4,9,9,02001,,                              C000,7
AAA9P,A,WGM8AA,BN,1QG77,4TH ADA BN HEAVY DIVISION,ADA BN HEAVY DIVISION,652,ATHR,Bad Kreuznach,VGWU,Sembach Ab,FJHY,Dortyol Airport,UWCP,Sanliurfa,2,3,4,9,9,02001,,                              C000,7
AAAAP,A,WA8RAA,CO,GNB77,69TH CHEMICAL CO  HVY DIV,CHEMICAL CO  HVY DIV,168,ATHR,Bad Kreuznach,VGWU,Sembach Ab,FJHY,Dortyol Airport,UWCP,Sanliurfa,2,3,4,9,9,02001,,                              C000,7
AAABP,A,WAD9AA,BN,25J77,37 AR  BATTALION  HVY DIV,TANK BATTALION  HVY DIV,556,ATHR,Bad Kreuznach,VGWU,Sembach Ab,FJHY,Dortyol Airport,UWCP,Sanliurfa,2,3,4,9,9,02001,,                              C000,7
AAACP,A,WAE3AA,BN,0NG77,36TH INF BN  MECH,INF BN  MECH,816,ATHR,Bad Kreuznach,VGWU,Sembach Ab,FJHY,Dortyol Airport,UWCP,Sanliurfa,2,3,4,9,9,02001,,                              C000,7
AAADP,A,WAELAA,HHC,2EUTT,HHC ARMOR DIV 1ST  BDE,HHC  HVY DIV BDE  ARMOR,91,ATHR,Bad Kreuznach,VGWU,Sembach Ab,FJHY,Dortyol Airport,UWCP,Sanliurfa,2,3,4,9,9,02001,,                              C000,7
AAAEP,A,WAEQAA,BN,17WVV,3RD FA BN 155 SP HVY DIV,FA BN 155 SP HVY DIV,754,ATHR,Bad Kreuznach,VGWU,Sembach Ab,FJHY,Dortyol Airport,UWCP,Sanliurfa,2,3,4,9,9,02001,,                              C000,7
AAAGP,A,WAEUAA,BN,4YD77,16TH ENGR BN  HVY DIV,ENGR BN  HVY DIV,441,ATHR,Bad Kreuznach,VGWU,Sembach Ab,FJHY,Dortyol Airport,UWCP,Sanliurfa,2,3,4,9,9,02001,,                              C000,7
AAAHP,A,WAF7AA,BTY,1EUTT,94TH FA BN MLRS,FA BTRY MLRS,125,ATHR,Bad Kreuznach,VGWU,Sembach Ab,FJHY,Dortyol Airport,UWCP,Sanliurfa,2,3,4,9,9,02001,,                              C000,7
AAAJP,A,WAFDAA,BN,37422,501ST AVN BN  AH 64,ATTACK HEL BN  AH 64,265,ATHR,Bad Kreuznach,VGWU,Sembach Ab,FJHY,Dortyol Airport,UWCP,Sanliurfa,2,3,4,9,9,02001,,                              C000,7
AAAMP,A,WAPBAA,HHC,2CUTT,HHC 1ST DIV  ARMOR,HHC  HVY DIV  ARMOR,340,ATHR,Bad Kreuznach,VGWU,Sembach Ab,FJHY,Dortyol Airport,UWCP,Sanliurfa,2,3,4,9,9,02001,,                              C000,7
AAANP,A,WAPCAA,CO,QYTTT,501ST MP CO HVY DIV,MP CO HVY DIV,160,ATHR,Bad Kreuznach,VGWU,Sembach Ab,FJHY,Dortyol Airport,UWCP,Sanliurfa,2,3,4,9,9,02001,,                              C000,7
AAAPP,A,WAPEAA,BN,6CTNN,141ST SIG BN  MSE,DIV SIG BN  MSE,461,ATHR,Bad Kreuznach,VGWU,Sembach Ab,FJHY,Dortyol Airport,UWCP,Sanliurfa,2,3,4,9,9,02001,,                              C000,7
AAAQP,A,WAPGAA,HHC,0LTTT,HHC INF DIV 2ND   BDE,HHC INF DIV  MECH  BDE,91,ATHR,Bad Kreuznach,VGWU,Sembach Ab,FJHY,Dortyol Airport,UWCP,Sanliurfa,2,3,4,9,9,02001,,                              C000,7
AAARP,A,WAPKAA,HHB,1QTTT,HHB DIV ARTY 1ST AD,HHB DIV ARTY HVY DIV,222,ATHR,Bad Kreuznach,VGWU,Sembach Ab,FJHY,Dortyol Airport,UWCP,Sanliurfa,2,3,4,9,9,02001,,                              C000,7
AAASP,A,WAPLAA,HHC,NBTTT,HHC 1ST AD DISCOM,HHC MMC  SPT CMD  HVY DIV,232,ATHR,Bad Kreuznach,VGWU,Sembach Ab,FJHY,Dortyol Airport,UWCP,Sanliurfa,2,3,4,9,9,02001,,                              C000,7
AAATP,A,WAPSAA,BN,0NG77,6TH INF BN  MECH,INF BN  MECH,816,ATHR,Bad Kreuznach,VGWU,Sembach Ab,FJHY,Dortyol Airport,UWCP,Sanliurfa,2,3,4,9,9,02001,,                              C000,7
AAAUP,A,WAPWAA,BN,0NG77,6TH INF BN  MECH,INF BN  MECH,816,ATHR,Bad Kreuznach,VGWU,Sembach Ab,FJHY,Dortyol Airport,UWCP,Sanliurfa,2,3,4,9,9,02001,,                              C000,7
AABAP,A,WH28AA,BN,17WVV,27TH FA BN 155 SP HVY DIV,FA BN 155 SP HVY DIV,754,ATHR,Bad Kreuznach,VGWU,Sembach Ab,FJHY,Dortyol Airport,UWCP,Sanliurfa,2,3,4,9,9,02001,,                              C000,7
AABBP,A,WH54AA,BN,25J77,37TH AR  BATTALION  HVY DI,TANK BATTALION  HVY DIV,556,ATHR,Bad Kreuznach,VGWU,Sembach Ab,FJHY,Dortyol Airport,UWCP,Sanliurfa,2,3,4,9,9,02001,,                              C000,7
AABCP,A,WH5QAA,BTY,1RTTT,25TH FA BTY,TGT ACQ BTRY HVY DIV,89,ATHR,Bad Kreuznach,VGWU,Sembach Ab,FJHY,Dortyol Airport,UWCP,Sanliurfa,2,3,4,9,9,02001,,                              C000,7
AABDP,A,WH6YAA,BN,PUTTT,501ST MI BN  HVY DIV,MI BN  HVY DIV,459,ATHR,Bad Kreuznach,VGWU,Sembach Ab,FJHY,Dortyol Airport,UWCP,Sanliurfa,2,3,4,9,9,02001,,                              C000,7
AABEP,A,WH96AA,BN,NZH33,501ST CS BN,FWD SPT BN  2X1  HVY DIV,435,ATHR,Bad Kreuznach,VGWU,Sembach Ab,FJHY,Dortyol Airport,UWCP,Sanliurfa,2,3,4,9,9,02001,,                              C000,7
AABFP,A,WH98AA,BN,NHTTT,47 CS BN,FWD SPT BN  1X2  HVY DIV,429,ATHR,Bad Kreuznach,VGWU,Sembach Ab,FJHY,Dortyol Airport,UWCP,Sanliurfa,2,3,4,9,9,02001,,                              C000,7
AABJP,A,WJEQAA,BN,NAU77,127TH CS BN  AVN SPT BN,DIV AVN SPT BN  HVY DIV,580,ATHR,Bad Kreuznach,VGWU,Sembach Ab,FJHY,Dortyol Airport,UWCP,Sanliurfa,2,3,4,9,9,02001,,                              C000,7
ABBBP,A,WAPYAA,BN,25J77,35TH AR  BATTALION  HVY DI,TANK BATTALION  HVY DIV,556,ATHR,Bad Kreuznach,VGWU,Sembach Ab,FJHY,Dortyol Airport,UWCP,Sanliurfa,2,3,4,9,9,02001,,                              C000,7
N11UA,N,,USS,5DDG5,DDG-68 USS The Sullivans,DDG-CLASS 51-78 AU,0,00XP,Persian Gulf,00XP,Persian Gulf,00XQ,Eastern Med,00XQ,Eastern Med,-1,0,8,9,9,,,,N
N11VA,N,,USS,5DDG5,DDG-103,DDG-CLASS 51-78 AU,0,00XP,Persian Gulf,00XP,Persian Gulf,00XQ,Eastern Med,00XQ,Eastern Med,-1,0,8,9,9,,,,N
NB1AA,N,,TGT,A45WM,CVBG 12,TASK GROUP      AU,0,00XP,Persian Gulf,00XP,Persian Gulf,00XQ,Eastern Med,00XQ,Eastern Med,-1,0,8,9,9,,,,N
NB1BA,N,,USS,5CVN1,CVN-77 USS Enterprise,CVN-CLASS 68    AU,0,00XP,Persian Gulf,00XP,Persian Gulf,00XQ,Eastern Med,00XQ,Eastern Med,-1,0,8,9,9,,,,N
NB1CA,N,,WQ,3LVAB,CVW-1,COMCARAIRWING   AU,18,00XP,Persian Gulf,00XP,Persian Gulf,00XQ,Eastern Med,00XQ,Eastern Med,-1,0,8,9,9,,,,N
NB1DA,N,,SQ,3FA18,VFA-11 (F/A-18),VFA (10) F/A-18 AU,212,00XP,Persian Gulf,00XP,Persian Gulf,00XQ,Eastern Med,00XQ,Eastern Med,-1,0,8,9,9,,,,N
NB1EA,N,,SQ,3FA18,VFA-12 (F/A-18),VFA (10) F/A-18 AU,212,00XP,Persian Gulf,00XP,Persian Gulf,00XQ,Eastern Med,00XQ,Eastern Med,-1,0,8,9,9,,,,N
NB1FC,N,,SQ,3FA18,VFA-13 (F/A-18),VFA (10) F/A-18 AU,0,00XP,Persian Gulf,00XP,Persian Gulf,00XQ,Eastern Med,00XQ,Eastern Med,-1,0,8,9,9,,,,N
NB1FP,N,,SQ,3FA18,VFA-13 (F/A-18),VFA (10) F/A-18 AU,212,00XP,Persian Gulf,00XP,Persian Gulf,00XQ,Eastern Med,00XQ,Eastern Med,-1,0,8,9,9,,,,N
NB1GA,N,,SQ,3FA18,VFA-31 (JSF),VFA (10) F/A-18 AU,212,00XP,Persian Gulf,00XP,Persian Gulf,00XQ,Eastern Med,00XQ,Eastern Med,-1,0,8,9,9,,,,N
NB1HA,N,,SQ,3FA18,VFA-32 (JSF),VFA (10) F/A-18 AU,212,00XP,Persian Gulf,00XP,Persian Gulf,00XQ,Eastern Med,00XQ,Eastern Med,-1,0,8,9,9,,,,N
NB1JC,N,,SQ,3FA18,VFA-33 (JSF),VFA (10) F/A-18 AU,0,00XP,Persian Gulf,00XP,Persian Gulf,00XQ,Eastern Med,00XQ,Eastern Med,-1,0,8,9,9,,,,N
NB1JP,N,,SQ,3FA18,VFA-33 (JSF),VFA (10) F/A-18 AU,212,00XP,Persian Gulf,00XP,Persian Gulf,00XQ,Eastern Med,00XQ,Eastern Med,-1,0,8,9,9,,,,N
NB1KA,N,,SQ,3S301,VS-1 (CSA 4 A/C),VS SQ (8)S3     AU,192,00XP,Persian Gulf,00XP,Persian Gulf,00XQ,Eastern Med,00XQ,Eastern Med,-1,0,8,9,9,,,,N
NB1LA,N,,SQ,3E2C2,VAW-1 (CSA 4 A/C),VAW SQ(4)E-2C   AU,165,00XP,Persian Gulf,00XP,Persian Gulf,00XQ,Eastern Med,00XQ,Eastern Med,-1,0,8,9,9,,,,N
NB1MC,N,,SQ,3JP21,VP-11 (P-3C),VP(9)P3C        AU,0,ATXK,Bahrain Intl,ATXK,Bahrain Intl,RWFQ,Nicosia,RWFQ,Nicosia,-1,0,8,9,9,,,,N
NB1MP,N,,SQ,3JP21,VP-11 (P-3C),VP(9)P3C        AU,136,ATXK,Bahrain Intl,ATXK,Bahrain Intl,RWFQ,Nicosia,RWFQ,Nicosia,-1,0,8,9,9,,,,N
NB1NA,N,,SQ,3EA61,VAQ-11 (EA-6B),VAQ SQ(5)EA6B   AU,164,00XP,Persian Gulf,00XP,Persian Gulf,00XQ,Eastern Med,00XQ,Eastern Med,-1,0,8,9,9,,,,N
NB1PA,N,,SQ,3GSLD,HS-11 (SH-60R 4 A/C),HSL (13)SH-60B  AU,195,00XP,Persian Gulf,00XP,Persian Gulf,00XQ,Eastern Med,00XQ,Eastern Med,-1,0,8,9,9,,,,N
NB1QA,N,,DET,3KA34,VRC-11 (CSA 2 A/C),VRC DET (2)C2A  AU,0,00XP,Persian Gulf,00XP,Persian Gulf,00XQ,Eastern Med,00XQ,Eastern Med,-1,0,8,9,9,,,,N
NB1RA,N,,USS,5DDDA,DD-23,DD-CLASS    AU,0,00XP,Persian Gulf,00XP,Persian Gulf,00XQ,Eastern Med,00XQ,Eastern Med,-1,0,8,9,9,,,,N
NB1SA,N,,USS,5DDDA,DD-24,DD-CLASS     AU,0,00XP,Persian Gulf,00XP,Persian Gulf,00XQ,Eastern Med,00XQ,Eastern Med,-1,0,8,9,9,,,,N
NB1UA,N,,USS,5DDG5,DDG-55 USS Stout,DDG-CLASS 51-78 AU,0,00XP,Persian Gulf,00XP,Persian Gulf,00XQ,Eastern Med,00XQ,Eastern Med,-1,0,8,9,9,,,,N
NB1VA,N,,USS,5DDG5,DDG-66 USS Gonzalez,DDG-CLASS 51-78 AU,0,00XP,Persian Gulf,00XP,Persian Gulf,00XQ,Eastern Med,00XQ,Eastern Med,-1,0,8,9,9,,,,N
NB1WA,N,,USS,5JCG2,CG-58  USS Philippine Sea,CG-CLASS 47-51  AU,0,00XP,Persian Gulf,00XP,Persian Gulf,00XQ,Eastern Med,00XQ,Eastern Med,-1,0,8,9,9,,,,N
NB1XA,N,,USS,5JCG2,CG-64 USS Gettysburg,CG-CLASS 47-51  AU,0,00XP,Persian Gulf,00XP,Persian Gulf,00XQ,Eastern Med,00XQ,Eastern Med,-1,0,8,9,9,,,,N
NB1YA,N,,USS,5SNLA,SSN-755 USS Miami,SSN 688 NUCLEAR AU,0,00XP,Persian Gulf,00XP,Persian Gulf,00XQ,Eastern Med,00XQ,Eastern Med,-1,0,8,9,9,,,,N
NB1ZA,N,,USS,5SNLA,SSN-767 USS Hampton,SSN 688 NUCLEAR AU,0,00XP,Persian Gulf,00XP,Persian Gulf,00XQ,Eastern Med,00XQ,Eastern Med,-1,0,8,9,9,,,,N
NB2BA,N,,USS,MU0EA,AOE-3  USS Seattle,AOE-CLASS 1     AU,0,00XP,Persian Gulf,00XP,Persian Gulf,00XQ,Eastern Med,00XQ,Eastern Med,-1,0,8,9,9,,,,N
NZZAA,N,,USS,5LHAA,LHD-6  USS Bonhomme Richard,LHA-CLASS 1     AU,0,00XP,Persian Gulf,00XP,Persian Gulf,00XQ,Eastern Med,00XQ,Eastern Med,-1,0,8,9,9,,,,N
NZZBA,N,,USS,5LPDA,LPD-19,NOTIONAL LPD    AU,1000,00XP,Persian Gulf,00XP,Persian Gulf,00XQ,Eastern Med,00XQ,Eastern Med,-1,0,8,9,9,,,,N
NZZCA,N,,USS,5LSDA,LSD-49 USS Harpers Ferry,NOTIONAL LSD    AU,1000,00XP,Persian Gulf,00XP,Persian Gulf,00XQ,Eastern Med,00XQ,Eastern Med,-1,0,8,9,9,,,,N
7AAAC,M,,DIV,0GBAA,2RD MARDIV,MARINE DIVISIONVA,0,ETFB,Cp Lejeune,RQWP,New River Mcas,LQCJ,Iskenderun,LQCN,Iskenderun,-10,-9,-8,10,15,,,,M
7AAAP,M,,DIV,0GBAA,2RD MARDIV,MARINE DIVISIONVA,373,ETFB,Cp Lejeune,RQWP,New River Mcas,LQCJ,Iskenderun,LQCN,Iskenderun,-10,-9,-8,10,15,,,,M
7AABC,M,,PER,CCFAP,MEF (FWD)/MPS FIE,MEF (FWD)/MPS F AU,0,ETFB,Cp Lejeune,RQWP,New River Mcas,LQCJ,Iskenderun,LQCN,Iskenderun,-10,-9,-8,10,15,,,,M
7AABP,M,,PER,CCFAP,MEF (FWD)/MPS FIE,MEF (FWD)/MPS F AU,65,ETFB,Cp Lejeune,RQWP,New River Mcas,LQCJ,Iskenderun,LQCN,Iskenderun,-10,-9,-8,10,15,,,,M
7AACC,M,,PER,PGBBP,DET  MAFC/FIE,DET  MAFC/MPS F AU,0,ETFB,Cp Lejeune,RQWP,New River Mcas,LQCJ,Iskenderun,LQCN,Iskenderun,-10,-9,-8,10,15,,,,M
7AACP,M,,PER,PGBBP,DET  MAFC/FIE,DET  MAFC/MPS F AU,14,ETFB,Cp Lejeune,RQWP,New River Mcas,LQCJ,Iskenderun,LQCN,Iskenderun,-10,-9,-8,10,15,,,,M
7AADC,M,,PER,VYBEP,CIVIL AFFAIRS GP,DET  CIVIL AFFA AU,0,ETFB,Cp Lejeune,RQWP,New River Mcas,LQCJ,Iskenderun,LQCN,Iskenderun,-10,-9,-8,10,15,,,,M
7AADP,M,,PER,VYBEP,CIVIL AFFAIRS GP,DET  CIVIL AFFA AU,1,ETFB,Cp Lejeune,RQWP,New River Mcas,LQCJ,Iskenderun,LQCN,Iskenderun,-10,-9,-8,10,15,,,,M
7AAEC,M,,PER,PGCAP,DET  SRI GRPHQ/FIE,DET  SRI GRP HQVA,0,ETFB,Cp Lejeune,RQWP,New River Mcas,LQCJ,Iskenderun,LQCN,Iskenderun,-10,-9,-8,10,15,,,,M
7AAEP,M,,PER,PGCAP,DET  SRI GRPHQ/FIE,DET  SRI GRP HQVA,3,ETFB,Cp Lejeune,RQWP,New River Mcas,LQCJ,Iskenderun,LQCN,Iskenderun,-10,-9,-8,10,15,,,,M
7AAFC,M,,PER,PGBAP,DET  HQSVC CO SRIG/FIE,DET  HQSVC CO   AU,0,ETFB,Cp Lejeune,RQWP,New River Mcas,LQCJ,Iskenderun,LQCN,Iskenderun,-10,-9,-8,10,15,,,,M
7AAFP,M,,PER,PGBAP,DET  HQSVC CO SRIG/FIE,DET  HQSVC CO   AU,1,ETFB,Cp Lejeune,RQWP,New River Mcas,LQCJ,Iskenderun,LQCN,Iskenderun,-10,-9,-8,10,15,,,,M
7AAGC,M,,PER,PGBAJ,DET  INTEL CO/FIE,DET  INTEL CO/M AU,0,ETFB,Cp Lejeune,RQWP,New River Mcas,LQCJ,Iskenderun,LQCN,Iskenderun,-10,-9,-8,10,15,,,,M
7AAGP,M,,PER,PGBAJ,DET  INTEL CO/FIE,DET  INTEL CO/M AU,3,ETFB,Cp Lejeune,RQWP,New River Mcas,LQCJ,Iskenderun,LQCN,Iskenderun,-10,-9,-8,10,15,,,,M
7AAHC,M,,PER,4TBAP,DET  TOPO PLT/FIE,DET  TOPO PLT/M AU,0,ETFB,Cp Lejeune,RQWP,New River Mcas,LQCJ,Iskenderun,LQCN,Iskenderun,-10,-9,-8,10,15,,,,M
7AAHP,M,,PER,4TBAP,DET  TOPO PLT/FIE,DET  TOPO PLT/M AU,23,ETFB,Cp Lejeune,RQWP,New River Mcas,LQCJ,Iskenderun,LQCN,Iskenderun,-10,-9,-8,10,15,,,,M
7AAJC,M,,PER,PGKEP,DET  SCAMP/FIE,DET  SCAMP/MPS  AU,0,ETFB,Cp Lejeune,RQWP,New River Mcas,LQCJ,Iskenderun,LQCN,Iskenderun,-10,-9,-8,10,15,,,,M
7AAJP,M,,PER,PGKEP,DET  SCAMP/FIE,DET  SCAMP/MPS  AU,23,ETFB,Cp Lejeune,RQWP,New River Mcas,LQCJ,Iskenderun,LQCN,Iskenderun,-10,-9,-8,10,15,,,,M
7AAKC,M,,PER,PGFAP,DET  FIIU/FIE,DET  FIIU/MPS F AU,0,ETFB,Cp Lejeune,RQWP,New River Mcas,LQCJ,Iskenderun,LQCN,Iskenderun,-10,-9,-8,10,15,,,,M
