PLUGIN_GROUP_ID,PLUGIN_GROUP_ORDER,DESCRIPTION,BLANK
AmmoPacking,140,, 
AntsAssets,10,, 
BlackJack-Sourcing,91,, 
ConstructionExpander,110,, 
Demand,70,, 
DIVPolicy,0,, 
DLAHQ,95,, 
GetOPlan,30,, 
GLS,30,, 
GLSInit,35,, 
ICP,96,, 
InventoryManagement,85,, 
InventoryPolicy,89,, 
LDMSQLAssets,150,, 
NCAPolicy,0,, 
Org,20,, 
PartsAssets,5,, 
PolicyTransfer,100,, 
PrepoAssets,15,, 
PrototypeProvider,3,, 
Sourcing,90,, 
StrategicTransport,40,, 
StrategicTransportProvider,130,, 
SubsistenceAssets,7,, 
SubsistenceDemand,71,, 
SubsistenceInventoryManagement,87,, 
TheaterConstruction,48,, 
TheaterTransportProvider,130,, 
TheaterTransportProviderVishnu,130,, 
TimePhasedOrg,20,, 
TriggerManager,120,, 
UI,60,, 
UniversalExpander,45,, 
XMLAssetPrototype,9,, 
GLMTrans_TRANSCOM,200,,
GLMTrans_GlobalAir,210,,
GLMTrans_GlobalSea,220,,
GLMTrans_GroundTransport,230,,
GLMTrans_PlanePacker,240,,
GLMTrans_ShipPacker,250,,
