COMPONENT_LIB_ID,ARGUMENT,BLANK
plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugin,'-AmmunitionInventory', 
plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugin,'-ConsumableInventory', 
plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugin,'-DLAInventoryManager', 
plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugin,'+AmmunitionInventory', 
plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugin,'+BulkPOLInventory', 
plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugin,'+BulkPOLTransport', 
plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugin,'+ConsumableInventory', 
plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugin,'+FuelsSourcingAllocator', 
plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugin,'+PackagedPOLInventory', 
plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugin,'+PackagedPOLTransport', 
plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugin,'Ammunition_inv=FSB_ammunition.inv', 
plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugin,'BulkPOL_inv=FSB_bulkpol.inv', 
plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugin,'BulkPOL_inv=POLSPLY_bulkpol.inv', 
plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugin,'BulkPOL_inv=TCBN-HHC_bulkpol.inv', 
plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugin,'Consumable_inv=FSB_consumable.inv', 
plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugin,'PackagedPOL_inv=FSB_packagedpol.inv', 
plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugin,'PackagedPOL_inv=POLSPLY_packagedpol.inv', 
plugin|mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugin,'PackagedPOL_inv=TCBN-HHC_packagedpol.inv', 
