CFW_ID,ROLE,ORG_ID,ORG_GROUP_ID,START_DATE,END_DATE,RELATION_ORDER,BLANK
1AD-CFW,SubsistenceSupplyProvider,125-FSB,3-BDE-1-AD-OG,1-Jan-05,,5, 
1AD-CFW,StrategicTransportationProvider,1-AD,3-BDE-1-AD-OG,1-Jan-05,,5, 
TRANSCOM-STUB-CFW,StrategicTransportationProvider,TRANSCOM,3-SUPCOM-HQ,1-Jan-05,,4, 
TRANSCOM-CFW,StrategicTransportationProvider,TRANSCOM,3-SUPCOM-HQ,1-Jan-05,,4, 
1AD-CFW,StrategicTransportationProvider,3-SUPCOM-HQ,3-SUPCOM-OG,1-Jan-05,,5, 
1AD-CFW,AmmunitionProvider,123-MSB,47-FSB,1-Jan-05,,4, 
1AD-CFW,FuelSupplyProvider,123-MSB,47-FSB,1-Jan-05,,4, 
1AD-CFW,PackagedPOLSupplyProvider,123-MSB,47-FSB,1-Jan-05,,4, 
1AD-CFW,SparePartsProvider,123-MSB,47-FSB,1-Jan-05,,4, 
1AD-CFW,SubsistenceSupplyProvider,123-MSB,47-FSB,1-Jan-05,,4, 
1AD-CFW,AmmunitionProvider,123-MSB,501-FSB,1-Jan-05,,4, 
1AD-CFW,FuelSupplyProvider,123-MSB,501-FSB,1-Jan-05,,4, 
1AD-CFW,PackagedPOLSupplyProvider,123-MSB,501-FSB,1-Jan-05,,4, 
1AD-CFW,SparePartsProvider,123-MSB,501-FSB,1-Jan-05,,4, 
1AD-CFW,SubsistenceSupplyProvider,123-MSB,501-FSB,1-Jan-05,,4, 
1AD-CFW,MaterielTransportProvider,28-TCBN,565-RPRPTCO,1-Jan-05,,3, 
1AD-CFW,SparePartsProvider,AWR-2,565-RPRPTCO,1-Jan-05,15-Sep-05,2, 
1AD-CFW,SparePartsProvider,DLAHQ,565-RPRPTCO,15-Sep-05,,2, 
1AD-CFW,MaterielTransportProvider,106-TCBN,592-ORDCO,1-Jan-05,,3, 
1AD-CFW,AmmunitionProvider,191-ORDBN,592-ORDCO,1-Jan-05,,2, 
1AD-CFW,SparePartsProvider,565-RPRPTCO,597-MAINTCO,1-Jan-05,,3, 
TRANSCOM-STUB-CFW,StrategicTransportationProvider,TRANSCOM,5-CORPS,1-Jan-05,,4, 
TRANSCOM-CFW,StrategicTransportationProvider,TRANSCOM,5-CORPS,1-Jan-05,,4, 
TRANSCOM-STUB-CFW,StrategicTransportationProvider,TRANSCOM,5-CORPS-ARTY,1-Jan-05,,4, 
TRANSCOM-CFW,StrategicTransportationProvider,TRANSCOM,5-CORPS-ARTY,1-Jan-05,,4, 
