PLUGIN_CLASS,THREAD_ID,DESCRIPTION,BLANK
mil.darpa.log.alpine.blackjack.plugins.AntsInventoryPlugIn,BASE,Inventory Management PlugIn, 
mil.darpa.log.alpine.blackjack.plugins.AntsMEILDMPlugIn,BASE,Provides MEI asset prototypes & PGs from database, 
mil.darpa.log.alpine.blackjack.plugins.AntsPartsLDMPlugIn,BASE,Provides Part asset prototypes & PGs from database, 
mil.darpa.log.alpine.blackjack.plugins.LimitResourcesPolicyPlugIn,BASE,Puts up a GUI ro edit the Limit Resources Policy, 
mil.darpa.log.alpine.blackjack.plugins.SubsistenceConsumerLDMPlugIn,BASE,Subsistence Consumer LDM, 
mil.darpa.log.alpine.blackjack.plugins.SubsistenceInventoryPlugIn,BASE,Subsistence Inventory Manager, 
mil.darpa.log.alpine.blackjack.plugins.SubsistenceLDMPlugIn,BASE,Subsistence LDM, 
mil.darpa.log.alpine.blackjack.plugins.SubsistenceProjectionPlugIn,BASE,Subsistence Projection, 
mil.darpa.log.alpine.blackjack.plugins.SupplyProjectionPlugIn,BASE,"Supply Projector Plugin: Ammunition, BulkPOL, Consumable", 
mil.darpa.log.alpine.blackjack.plugins.TransportAggregatorPlugIn,BASE,Transport Aggregator (Obsolete), 
mil.darpa.log.alpine.blackjack.plugins.TransportAllocatorPlugIn,BASE,Transport Allocator, 
mil.darpa.log.alpine.blackjack.plugins.TransportExpanderPlugIn,BASE,Transport Expander, 
org.cougaar.domain.glm.packer.AmmoPacker,BASE,Packs ammo, 
org.cougaar.domain.mlm.construction.ConstructionInventoryPlugIn,BASE,Construction Inventory PlugIn, 
org.cougaar.domain.mlm.construction.ConstructionProjectionPlugIn,BASE,Construction Projection PlugIn, 
org.cougaar.domain.mlm.construction.DTConstructionExpanderPlugIn,BASE,Construction Expander PlugIn, 
org.cougaar.domain.mlm.plugin.generic.GenericTablePlugIn,BASE,Rule based allocator PlugIn. Uses %ALLOCATION_RULE%, 
org.cougaar.domain.mlm.plugin.generic.PropagationPlugIn,BASE,Rule based policy propagation PlugIn. Uses %PROPAG, 
org.cougaar.domain.mlm.plugin.generic.UniversalExpanderPlugIn,BASE,Generic Universal Expander PlugIn - Specialized for construction??, 
org.cougaar.domain.mlm.plugin.ldm.GetOplanPlugIn,BASE,Redeems the Oplan coupon, 
org.cougaar.domain.mlm.plugin.ldm.LDMSQLPlugIn,BASE,Creates assets based on results of an SQL query, 
org.cougaar.domain.mlm.plugin.ldm.SQLOplanPlugIn,BASE,Reads the Oplan from the DROP_RELATIONSHIP table, 
org.cougaar.domain.mlm.plugin.ldm.XMLOPlanPlugIn,BASE,Reads the Oplan from an XML file, 
org.cougaar.domain.mlm.plugin.ldm.XMLPolicyPlugIn,BASE,An instance of an LDMPlugIn that reads a Cluster's, 
org.cougaar.domain.mlm.plugin.organization.GLSAllocatorPlugIn,BASE,Expands GLS task for each subordinate and allocate, 
org.cougaar.domain.mlm.plugin.organization.GLSExpanderPlugIn,BASE,Expands GLS task, 
org.cougaar.domain.mlm.plugin.organization.GLSGUIInitPlugIn,BASE,Runs GUI to send GLS command, 
org.cougaar.domain.mlm.plugin.organization.GLSRescindPlugIn,BASE,The GSLRescindPlugIn will rescind the GLS Root Tas, 
org.cougaar.domain.mlm.plugin.organization.OrgReportPlugIn,BASE,Subscribes to RFD tasks and RFS tasks and generate, 
org.cougaar.domain.mlm.plugin.organization.OrgRTDataPlugIn,BASE,"Reads *-prototype-ini.dat; creates org assets, RFD", 
org.cougaar.domain.mlm.plugin.organization.OrgTPRTDataPlugIn,BASE,"TimePhased version. Reads *-prototype-ini.dat and *-relationship.ini. creates org assets, RFD", 
org.cougaar.domain.mlm.plugin.organization.OrgDataPlugIn,BASE,"Creates org assets, RFD (Replaces OrgRTDataPlugIn and OrgTPRTDataPlugIn", 
org.cougaar.domain.mlm.plugin.sample.StrategicTransportProjectorPlugIn,BASE,Projects Strategic Transport requirements, 
org.cougaar.domain.mlm.plugin.sample.UniversalAllocatorPlugIn,BASE,Universal Allocator, 
org.cougaar.domain.mlm.plugin.xml.XMLPrototypeProviderPlugIn,BASE,Provides asset prototypes & PGs from xml files, 
org.cougaar.domain.planning.ldm.trigger.TriggerManagerPlugIn,BASE,This plugin manages triggers that have been create, 
org.cougaar.lib.planserver.PlanServerPlugIn,BASE,PSP Plugin. Forms the basis for Uis, 
org.cougaar.pkg.glmtrans.plugins.GroundVishnuPlugIn,BASE,Vishnu Ground Transportation PlugIn, 
