CFW_GROUP_ID,ORG_ID,BLANK,IN_SMALL_1AD,IN_TINY_1AD,SUPERIOR_ORG_ID
1AD-TRANS-CFW-GRP,238-POL-TRKCO, ,,,106-TCBN
1AD-TRANS-CFW-GRP,2-3-FABN, ,,,1-BDE-1-AD
1AD-TRANS-CFW-GRP,23-ORDCO, ,,,191-ORDBN
1AD-TRANS-CFW-GRP,240-SSCO, ,1,,71-MAINTBN
1AD-TRANS-CFW-GRP,244-ENGBN-CBTHVY, ,,,130-ENGBDE
1AD-TRANS-CFW-GRP,2-4-FABN-MLRS, ,,,41-FABDE
1AD-TRANS-CFW-GRP,24-ORDCO, ,,,191-ORDBN
1AD-TRANS-CFW-GRP,2-501-AVNBN, ,,,AVNBDE-1-AD
1AD-TRANS-CFW-GRP,25-FABTRY-TGTACQ, ,,,DIVARTY-1-AD
1AD-TRANS-CFW-GRP,263-FLDSVC-CO, ,,,18-MAINTBN
1AD-TRANS-CFW-GRP,2-6-INFBN, ,,,2-BDE-1-AD
1AD-TRANS-CFW-GRP,26-SSCO, ,1,,485-CSB
1AD-TRANS-CFW-GRP,2-70-ARBN, ,,,3-BDE-1-AD
1AD-TRANS-CFW-GRP,27-TCBN-MVTCTRL, ,,,3-SUPCOM-HQ
1AD-TRANS-CFW-GRP,286-ADA-SCCO, ,,,69-ADABDE
1AD-TRANS-CFW-GRP,28-TCBN, ,1,1,37-TRANSGP
1AD-TRANS-CFW-GRP,29-SPTGP, ,1,1,21-TSC-HQ
1AD-TRANS-CFW-GRP,2-BDE-1-AD, ,1,1,1-AD
1AD-TRANS-CFW-GRP,30-MEDBDE, ,,,5-CORPS-REAR
1AD-TRANS-CFW-GRP,3-13-FABN-155, ,,,41-FABDE
1AD-TRANS-CFW-GRP,316-POL-SUPPLYBN, ,1,,7-CSG
1AD-TRANS-CFW-GRP,317-MAINTCO, ,,,71-MAINTBN
1AD-TRANS-CFW-GRP,343-SUPPLYCO, ,1,1,51-MAINTBN
1AD-TRANS-CFW-GRP,372-CGO-TRANSCO, ,,,106-TCBN
1AD-TRANS-CFW-GRP,377-HVY-TRKCO, ,,,181-TCBN
1AD-TRANS-CFW-GRP,37-TRANSGP, ,1,1,21-TSC-HQ
1AD-TRANS-CFW-GRP,3-BDE-1-AD, ,,,1-AD
1AD-TRANS-CFW-GRP,3-SUPCOM-HQ, ,1,1,5-CORPS
1AD-TRANS-CFW-GRP,40-ENGBN, ,,,2-BDE-1-AD
1AD-TRANS-CFW-GRP,416-POL-TRKCO, ,,,6-TCBN
1AD-TRANS-CFW-GRP,41-FABDE, ,1,,5-CORPS-ARTY
1AD-TRANS-CFW-GRP,4-1-FABN, ,,,3-BDE-1-AD
1AD-TRANS-CFW-GRP,41-POL-TRKCO, ,,,181-TCBN
1AD-TRANS-CFW-GRP,4-27-FABN, ,,,2-BDE-1-AD
1AD-TRANS-CFW-GRP,452-ORDCO, ,,,125-ORDBN
1AD-TRANS-CFW-GRP,47-FSB, ,1,1,2-BDE-1-AD
1AD-TRANS-CFW-GRP,485-CSB, ,1,1,16-CSG
1AD-TRANS-CFW-GRP,501-FSB, ,,,1-BDE-1-AD
1AD-TRANS-CFW-GRP,501-MIBN-CEWI, ,,,1-AD-DIV
1AD-TRANS-CFW-GRP,501-MPCO, ,,,1-AD-DIV
1AD-TRANS-CFW-GRP,512-MAINTCO, ,,,51-MAINTBN
1AD-TRANS-CFW-GRP,515-POL-TRKCO, ,,,316-POL-SUPPLYBN
1AD-TRANS-CFW-GRP,51-MAINTBN, ,1,1,29-SPTGP
1AD-TRANS-CFW-GRP,51-MDM-TRKCO, ,,,181-TCBN
1AD-TRANS-CFW-GRP,529-ORDCO, ,,,125-ORDBN
1AD-TRANS-CFW-GRP,52-ENGBN-CBTHVY, ,1,,130-ENGBDE
1AD-TRANS-CFW-GRP,541-POL-TRKCO, ,,,561-SSBN
1AD-TRANS-CFW-GRP,561-SSBN, ,,,7-CSG
1AD-TRANS-CFW-GRP,565-RPRPTCO, ,1,1,71-MAINTBN
1AD-TRANS-CFW-GRP,574-SSCO, ,1,,51-MAINTBN
1AD-TRANS-CFW-GRP,584-MAINTCO, ,,,561-SSBN
1AD-TRANS-CFW-GRP,588-MAINTCO, ,,,485-CSB
1AD-TRANS-CFW-GRP,592-ORDCO, ,1,1,485-CSB
1AD-TRANS-CFW-GRP,594-MDM-TRKCO, ,,,106-TCBN
1AD-TRANS-CFW-GRP,596-MAINTCO, ,,,485-CSB
1AD-TRANS-CFW-GRP,597-MAINTCO, ,1,,71-MAINTBN
1AD-TRANS-CFW-GRP,5-CORPS, ,1,1,USAEUR
1AD-TRANS-CFW-GRP,5-CORPS-ARTY, ,1,,5-CORPS
1AD-TRANS-CFW-GRP,5-CORPS-REAR, ,1,,5-CORPS
