ORG_GROUP_ID,DESCRIPTION,BLANK,ORIG_ORDER,ORG_ORDER
5-CORPS,5-CORPS Solo Org Group, ,17,100
5-CORPS-ARTY,5-CORPS-ARTY Solo Org Group, ,109,101
5-CORPS-REAR,5-CORPS-REAR Solo Org Group, ,97,102
5-MAINTCO,5-MAINTCO Solo Org Group, ,123,103
632-MAINTCO,632-MAINTCO Solo Org Group, ,139,104
66-MDM-TRKCO,66-MDM-TRKCO Solo Org Group, ,133,105
68-MDM-TRKCO,68-MDM-TRKCO Solo Org Group, ,134,106
69-ADABDE,69-ADABDE Solo Org Group, ,103,107
69-CHEMCO,69-CHEMCO Solo Org Group, ,24,108
6-TCBN,6-TCBN Solo Org Group, ,136,109
702-EODDET,702-EODDET Solo Org Group, ,128,110
70-ENGBN,70-ENGBN Solo Org Group, ,43,111
71-MAINTBN,71-MAINTBN Solo Org Group, ,78,112
71-ORDCO,71-ORDCO Solo Org Group, ,83,113
720-EODDET,720-EODDET Solo Org Group, ,129,114
77-MAINTCO,77-MAINTCO Solo Org Group, ,64,115
7-CSG,7-CSG Solo Org Group, ,77,116
7-TCGP-TPTDD,7-TCGP-TPTDD Solo Org Group, ,118,117
900-POL-SUPPLYCO,900-POL-SUPPLYCO Solo Org Group, ,92,118
AVNBDE-1-AD,AVNBDE-1-AD Solo Org Group, ,51,119
AWR-2,AWR-2 Solo Org Group, ,115,120
CONUSGround,CONUSGround Solo Org Group, ,15,138
DISCOM-1-AD,DISCOM-1-AD Solo Org Group, ,49,121
DIVARTY-1-AD,DIVARTY-1-AD Solo Org Group, ,46,122
DLAHQ,DLAHQ Solo Org Group, ,3,123
FORSCOM,FORSCOM Solo Org Group, ,2,124
GlobalAir,GlobalAir Solo Org Group, ,12,135
GlobalSea,GlobalSea Solo Org Group, ,11,134
HNS,HNS Solo Org Group, ,5,125
JSRCMDSE,JSRCMDSE Solo Org Group, ,9,126
NATO,NATO Solo Org Group, ,8,127
NCA,NCA Solo Org Group, ,1,128
OSC,OSC Solo Org Group, ,4,129
PlanePacker,PlanePacker Solo Org Group, ,14,137
RSA,RSA Solo Org Group, ,117,130
ShipPacker,ShipPacker Solo Org Group, ,13,136
TheaterGround,TheaterGround Solo Org Group, ,16,139
TRANSCOM,TRANSCOM Solo Org Group, ,10,133
USAEUR,USAEUR Solo Org Group, ,7,131
USEUCOM,USEUCOM Solo Org Group, ,6,132
