COMPONENT_LIB_ID,COMPONENT_TYPE,COMPONENT_CLASS,INSERTION_POINT,DESCRIPTION,BLANK
plugin|org.cougaar.mlm.plugin.organization.GLSExpanderPlugin,plugin,org.cougaar.mlm.plugin.organization.GLSExpanderPlugin,Node.AgentManager.Agent.PluginManager.Plugin,Expands GLS task, 
plugin|org.cougaar.mlm.plugin.organization.OrgReportPlugin,plugin,org.cougaar.mlm.plugin.organization.OrgReportPlugin,Node.AgentManager.Agent.PluginManager.Plugin,Subscribes to RFD tasks and RFS tasks and generate, 
plugin|org.cougaar.mlm.plugin.organization.OrgDataPlugin,plugin,org.cougaar.mlm.plugin.organization.OrgDataPlugin,Node.AgentManager.Agent.PluginManager.Plugin,Reads *-prototype-ini.dat; creates org assets and RFD, 
plugin|org.cougaar.mlm.plugin.sample.StrategicTransportProjectorPlugin,plugin,org.cougaar.mlm.plugin.sample.StrategicTransportProjectorPlugin,Node.AgentManager.Agent.PluginManager.Plugin,Projects Strategic Transport requirements, 
plugin|org.cougaar.mlm.plugin.sample.UniversalAllocatorPlugin,plugin,org.cougaar.mlm.plugin.sample.UniversalAllocatorPlugin,Node.AgentManager.Agent.PluginManager.Plugin,Universal Allocator, 
plugin|org.cougaar.mlm.plugin.xml.XMLPrototypeProviderPlugin,plugin,org.cougaar.mlm.plugin.xml.XMLPrototypeProviderPlugin,Node.AgentManager.Agent.PluginManager.Plugin,Provides asset prototypes & PGs from xml files, 
plugin|org.cougaar.planning.ldm.trigger.TriggerManagerPlugin,plugin,org.cougaar.planning.ldm.trigger.TriggerManagerPlugin,Node.AgentManager.Agent.PluginManager.Plugin,This plugin manages triggers that have been create, 
plugin|org.cougaar.glm.trans.plugins.GroundVishnuPlugin,plugin,org.cougaar.glm.trans.plugins.GroundVishnuPlugin,Node.AgentManager.Agent.PluginManager.Plugin,Ground Vishnu Scheduler Plugin, 
plugin|org.cougaar.lib.plugin.UTILLdmXMLPlugin,plugin,org.cougaar.lib.plugin.UTILLdmXMLPlugin,Node.AgentManager.Agent.PluginManager.Plugin,GLMTrans-style LDM plugin that populates cluster with assets, 
plugin|org.cougaar.glm.trans.plugins.base.GLMTransOneToManyExpanderPlugin,plugin,org.cougaar.glm.trans.plugins.base.GLMTransOneToManyExpanderPlugin,Node.AgentManager.Agent.PluginManager.Plugin,Expands tasks with aggregate assets or asset groups into item assets, 
plugin|org.cougaar.glm.trans.plugins.TranscomVishnuPlugin,plugin,org.cougaar.glm.trans.plugins.TranscomVishnuPlugin,Node.AgentManager.Agent.PluginManager.Plugin,Vishnu plugin that routes tasks to either GlobalSea or GlobalAir or allocates to a null asset, 
plugin|org.cougaar.glm.trans.plugins.SequentialGlobalAirPlugin,plugin,org.cougaar.glm.trans.plugins.SequentialGlobalAirPlugin,Node.AgentManager.Agent.PluginManager.Plugin,Sequential backwards planning plugin that manages the air expansion, 
plugin|org.cougaar.glm.trans.plugins.SequentialGlobalSeaPlugin,plugin,org.cougaar.glm.trans.plugins.SequentialGlobalSeaPlugin,Node.AgentManager.Agent.PluginManager.Plugin,Sequential backwards planning plugin that manages the sea expansion, 
plugin|org.cougaar.glm.trans.plugins.TransportExpanderPlugin,plugin,org.cougaar.glm.trans.plugins.TransportExpanderPlugin,Node.AgentManager.Agent.PluginManager.Plugin,Expands incoming transport tasks into aggregates that are no larger than the largest asset, 
plugin|org.cougaar.glm.trans.plugins.GroundTransportAllocatorPlugin,plugin,org.cougaar.glm.trans.plugins.GroundTransportAllocatorPlugin,Node.AgentManager.Agent.PluginManager.Plugin,Handles allocations to truck/rail assets and to self-transportables, 
plugin|org.cougaar.glm.trans.plugins.GenericVishnuPlugin,plugin,org.cougaar.glm.trans.plugins.GenericVishnuPlugin,Node.AgentManager.Agent.PluginManager.Plugin,Generic Vishnu scheduler that maps cargo assets to transportation assets, 
plugin|org.cougaar.glm.trans.plugins.TransportAllocatorPlugin,plugin,org.cougaar.glm.trans.plugins.TransportAllocatorPlugin,Node.AgentManager.Agent.PluginManager.Plugin,Handles allocations to generic transportation assets, 
plugin|org.cougaar.glm.trans.plugins.SeaVishnuPlugin,plugin,org.cougaar.glm.trans.plugins.SeaVishnuPlugin,Node.AgentManager.Agent.PluginManager.Plugin,Vishnu scheduler that uses a custom translation specific to ships, 
103-MIBN,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,103 MI BN, 
10-ENGBN,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,10 Eng Bn, 
10-TCBN-HHC,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,HHC 10 TC Bn, 
1-10-FABN,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,1/10 FA Bn, 
110-QMCO-POLSPLY,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,110 QM POL Supply Co, 
1-14-CAVSQDN,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,1/14 Cav Sqdrn (RSTA), 
1-15-INFBN,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,1/15 Inf Bn (Mech), 
119-TCCO-CGO,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,119 TC Co CGO Transfer, 
11-ENGBN,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,11 Eng Bn, 
1-23-INFBN,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,1/23 Inf Bn, 
123-SIGBN,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,123 Signal Bn, 
126-MEDTM-FSURG,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,126 MD Tm Fwd Surgical, 
12-FABTRY,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,13 FA Btry MLRS, 
1-30-INFBN,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,1/30 Inf Bn (Mech), 
1-37-FABN,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,1/37 FA Bn, 
1-3-ADABN,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,1/3 ADA Bn, 
1-3-AVNBN,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,1/3 Avn Bn (AH64), 
1-41-FABN,agent,org.cougaar.core.agent.ClusterImpl,Node.AgentManager.Agent,1/41 FA Bn, 
