EXPT_ID,TRIAL_ID,DESCRIPTION,BLANK
3ID-135-TRANS,3ID-135-TRANS-TRIAL-A,Basic trial for 3ID-135-TRANS, 
SMALL-135-TRANS,SMALL-135-TRANS-TRIAL-A,Basic trial forSMALL-135-TRANS, 
