COMPONENT_LIB_ID,ARGUMENT,BLANK
plugin|org.cougaar.mlm.plugin.ldm.LDMSQLPlugIn,'eiger_CAVSQDN_assets.q', 
plugin|org.cougaar.mlm.plugin.ldm.LDMSQLPlugIn,'eiger_DASB_assets.q', 
plugin|org.cougaar.mlm.plugin.ldm.LDMSQLPlugIn,'eiger_ENGBN_assets.q', 
plugin|org.cougaar.mlm.plugin.ldm.LDMSQLPlugIn,'eiger_FABN_assets.q', 
plugin|org.cougaar.mlm.plugin.ldm.LDMSQLPlugIn,'eiger_FSB_assets.q', 
plugin|org.cougaar.mlm.plugin.ldm.LDMSQLPlugIn,'eiger_INFBN_assets.q', 
plugin|org.cougaar.mlm.plugin.ldm.LDMSQLPlugIn,'eiger_MSB_assets.q', 
plugin|org.cougaar.mlm.plugin.ldm.LDMSQLPlugIn,'fdm_all_aggregate_assets.q', 
plugin|org.cougaar.mlm.plugin.ldm.LDMSQLPlugIn,'uic=%UIC%', 
plugin|org.cougaar.mlm.plugin.ldm.SQLOplanPlugIn,'092MP.oplan.q', 
plugin|org.cougaar.mlm.plugin.ldm.XMLPolicyPlugIn,'ArmyFeedingPolicy.ldm.xml', 
plugin|org.cougaar.mlm.plugin.ldm.XMLPolicyPlugIn,'BasicLoadPolicy.ldm.xml', 
plugin|org.cougaar.mlm.plugin.ldm.XMLPolicyPlugIn,'InventoryPolicy-2BDE-BN.ldm.xml', 
plugin|org.cougaar.mlm.plugin.ldm.XMLPolicyPlugIn,'InventoryPolicy-2BDE-FSB.ldm.xml', 
plugin|org.cougaar.mlm.plugin.ldm.XMLPolicyPlugIn,'InventoryPolicy-ARBN.ldm.xml', 
plugin|org.cougaar.mlm.plugin.ldm.XMLPolicyPlugIn,'InventoryPolicy-Construction.ldm.xml', 
plugin|org.cougaar.mlm.plugin.ldm.XMLPolicyPlugIn,'InventoryPolicy-FSB.ldm.xml', 
plugin|org.cougaar.mlm.plugin.ldm.XMLPolicyPlugIn,'InventoryPolicy-MATERIEL-SUPPLY.ldm.xml', 
plugin|org.cougaar.mlm.plugin.ldm.XMLPolicyPlugIn,'InventoryPolicy-MSB.ldm.xml', 
plugin|org.cougaar.mlm.plugin.ldm.XMLPolicyPlugIn,'InventoryPolicy-TRANS-TERMINAL.ldm.xml', 
plugin|org.cougaar.mlm.plugin.ldm.XMLPolicyPlugIn,'LimitResourcesPolicy.ldm.xml', 
plugin|org.cougaar.mlm.plugin.organization.GLSExpanderPlugIn,'Ammunition', 
plugin|org.cougaar.mlm.plugin.organization.GLSExpanderPlugIn,'BulkPOL', 
plugin|org.cougaar.mlm.plugin.organization.GLSExpanderPlugIn,'ClassISubsistence', 
plugin|org.cougaar.mlm.plugin.organization.GLSExpanderPlugIn,'Construction', 
plugin|org.cougaar.mlm.plugin.organization.GLSExpanderPlugIn,'MaintainInventory', 
plugin|org.cougaar.mlm.plugin.organization.GLSExpanderPlugIn,'PackagedPOL', 
plugin|org.cougaar.mlm.plugin.organization.GLSExpanderPlugIn,'StrategicTransportation', 
plugin|org.cougaar.mlm.plugin.sample.StrategicTransportProjectorPlugIn,'OffsetDays=7', 
plugin|org.cougaar.mlm.plugin.sample.StrategicTransportProjectorPlugIn,'OriginFile=GEOLOC-PLDR.xml', 
plugin|org.cougaar.mlm.plugin.sample.StrategicTransportProjectorPlugIn,'OriginFile=None', 
plugin|org.cougaar.mlm.plugin.sample.UniversalAllocatorPlugIn,'Supply', 
plugin|org.cougaar.mlm.plugin.sample.UniversalAllocatorPlugIn,'Transport', 
