CFW_ID,ORG_ID,SUPERIOR_ORG_ID,BLANK,ORIG_ORDER,ORG_ORDER
1AD-CFW,596-MAINTCO,485-CSB, ,58,98
1AD-CFW,597-MAINTCO,71-MAINTBN, ,81,99
1AD-CFW,5-CORPS,USAEUR, ,17,100
1AD-CFW,5-CORPS-ARTY,5-CORPS, ,109,101
1AD-CFW,5-CORPS-REAR,5-CORPS, ,97,102
1AD-CFW,5-MAINTCO,51-MAINTBN, ,123,103
1AD-CFW,632-MAINTCO,6-TCBN, ,139,104
1AD-CFW,66-MDM-TRKCO,28-TCBN, ,133,105
1AD-CFW,68-MDM-TRKCO,28-TCBN, ,134,106
1AD-CFW,69-ADABDE,5-CORPS-REAR, ,103,107
1AD-CFW,69-CHEMCO,1-AD-DIV, ,24,108
1AD-CFW,6-TCBN,37-TRANSGP, ,136,109
1AD-CFW,702-EODDET,191-ORDBN, ,128,110
1AD-CFW,70-ENGBN,3-BDE-1-AD, ,43,111
1AD-CFW,71-MAINTBN,7-CSG, ,78,112
1AD-CFW,71-ORDCO,71-MAINTBN, ,83,113
1AD-CFW,720-EODDET,191-ORDBN, ,129,114
1AD-CFW,77-MAINTCO,18-MAINTBN, ,64,115
1AD-CFW,7-CSG,3-SUPCOM-HQ, ,77,116
1AD-CFW,7-TCGP-TPTDD,21-TSC-HQ, ,118,117
1AD-CFW,900-POL-SUPPLYCO,316-POL-SUPPLYBN, ,92,118
1AD-CFW,AVNBDE-1-AD,1-AD, ,51,119
1AD-CFW,AWR-2,21-TSC-HQ, ,115,120
TRANSCOM-CFW,CONUSGround,GlobalSea, ,15,139
1AD-CFW,DISCOM-1-AD,1-AD, ,49,121
1AD-CFW,DIVARTY-1-AD,1-AD, ,46,122
1AD-CFW,DLAHQ,NCA, ,3,123
1AD-CFW,FORSCOM,NCA, ,2,124
TRANSCOM-CFW,GlobalAir,TRANSCOM, ,12,136
TRANSCOM-CFW,GlobalSea,TRANSCOM, ,11,135
