TI_ID,SCL_CD,TI_NM,TI_CGO_CPCTY_QY,TI_BLCK_BRC_SRC_ID,TI_SUTBLTY_ID,JDL_RCRD_STAT_CD,JDL_RCRD_CHNG_DT,JDL_RCRD_CHNGD_BY_CD,LEAD_NSN,FUEL_BURNER,BLANK
K25215,,HEATER OIL TLR MTD,0,8055,,, 2000-01-12 00:00:00,JDL,,NO, 
K28601,,KITCHEN FLD CO LVL,0,,,, 2000-01-12 00:00:00,JDL,,YES, 
K32293,,HELICOPTER UTILITY,3369,8500,,, 2000-01-12 00:00:00,JDL,,YES, 
L21437,,KETTLE BITUM TLR MTD,0,6063,,, 2000-01-12 00:00:00,JDL,,NO, 
L28351,,KITCHEN FIELD TLR MTD,3000,6063,,, 2000-01-12 00:00:00,JDL,,NO, 
L33800,,LAB PETRL STLR MTD,0,6067,,, 2000-01-12 00:00:00,JDL,,NO, 
L43664,,LCHR BRIDGE TANK MTD,0,6980,,, 2000-01-12 00:00:00,JDL,,YES, 
L44894,,LAUNCHER ROCKET VEH MTD,0,8043,,, 2000-01-12 00:00:00,JDL,,YES, 
L48315,,LAUNDRY UNIT TLR MTD,200,8104,,, 2000-01-12 00:00:00,JDL,,YES, 
L67342,,LAUNCHR M/CLRG TLRMTD,0,8055,,, 2000-01-12 00:00:00,JDL,,NO, 
L69306,,LOS RADIO TERMINAL,0,,,, 2000-01-12 00:00:00,JDL,,NO, 
L69442,,LOS RADIO TERMINAL,0,,,, 2000-01-12 00:00:00,JDL,,NO, 
L76315,,LOADER SCOOP TYPE WHL,0,8056,,, 2000-01-12 00:00:00,JDL,,YES, 
L76321,,LOADER SCOOP TYPE WHL,0,8056,,, 2000-01-12 00:00:00,JDL,,YES, 
L76556,,LOADER SCOOP TYPE WHL,0,8056,,, 2000-01-12 00:00:00,JDL,,YES, 
L85283,,LUB SVC UNIT TLR MTD,0,8054,,, 2000-01-12 00:00:00,JDL,,YES, 
M04268,,MANAGEMENT FACILITY,0,,,, 2000-01-12 00:00:00,JDL,,NO, 
M21948,,MASTER CONTROL SET,0,,,, 2000-01-12 00:00:00,JDL,,NO, 
M68405,,MORTAR 120 MM,0,,,, 2000-01-12 00:00:00,JDL,,NO, 
P11866,,PNEU TL&COMP TLR MTD,0,8104,,, 2000-01-12 00:00:00,JDL,,YES, 
P28015,,POWER PLANT TLR MTD,0,8055,,, 2000-01-12 00:00:00,JDL,,YES, 
P28083,,POWER PLANT TRLR MTD,0,,,, 2000-01-12 00:00:00,JDL,,YES, 
P28151,,POWER PLANT TLR MTD,0,,,, 2000-01-12 00:00:00,JDL,,YES, 
P42262,,POWER PLANT TLR MTD,0,,,, 2000-01-12 00:00:00,JDL,,YES, 
P44627,,POWER UNI AUX AVN,0,6069,,, 2000-01-12 00:00:00,JDL,,YES, 
P97051,,PUMP FLMB LIQ WHLMTD,0,8104,,, 2000-01-12 00:00:00,JDL,,YES, 
P97119,,PUMP ASSY W/REGULATOR,0,,,, 2000-01-12 00:00:00,JDL,,YES, 
