CFW_ID,ORGTYPE_ID,PLUGIN_GROUP_ID,BLANK
3ID-CFW,3ID-OTHER,AntsAssets, 
3ID-CFW,3ID-OTHER,GLS, 
3ID-CFW,3ID-OTHER,LDMSQLAssets, 
3ID-CFW,3ID-OTHER,Org, 
3ID-CFW,3ID-OTHER,PolicyTransfer, 
3ID-CFW,3ID-OTHER,StrategicTransport, 
3ID-CFW,3ID-OTHER,UI, 
3ID-CFW,3ID-OTHER,XMLAssetPrototype, 
3ID-CFW,AMMO-SUPPLY,AntsAssets, 
3ID-CFW,AMMO-SUPPLY,Demand, 
3ID-CFW,AMMO-SUPPLY,GLS, 
3ID-CFW,AMMO-SUPPLY,InventoryManagement, 
3ID-CFW,AMMO-SUPPLY,InventoryPolicy, 
3ID-CFW,AMMO-SUPPLY,LDMSQLAssets, 
3ID-CFW,AMMO-SUPPLY,Org, 
3ID-CFW,AMMO-SUPPLY,PolicyTransfer, 
3ID-CFW,AMMO-SUPPLY,StrategicTransport, 
3ID-CFW,AMMO-SUPPLY,UI, 
3ID-CFW,AMMO-SUPPLY,XMLAssetPrototype, 
3ID-CFW,ARBN,AntsAssets, 
3ID-CFW,ARBN,Demand, 
3ID-CFW,ARBN,GLS, 
3ID-CFW,ARBN,InventoryManagement, 
3ID-CFW,ARBN,InventoryPolicy, 
3ID-CFW,ARBN,LDMSQLAssets, 
3ID-CFW,ARBN,Org, 
3ID-CFW,ARBN,PolicyTransfer, 
3ID-CFW,ARBN,StrategicTransport, 
3ID-CFW,ARBN,SubsistenceAssets, 
3ID-CFW,ARBN,SubsistenceDemand, 
3ID-CFW,ARBN,UI, 
3ID-CFW,ARBN,XMLAssetPrototype, 
3ID-CFW,AVNBN-ATTACK,AntsAssets, 
3ID-CFW,AVNBN-ATTACK,Demand, 
3ID-CFW,AVNBN-ATTACK,GLS, 
3ID-CFW,AVNBN-ATTACK,InventoryManagement, 
3ID-CFW,AVNBN-ATTACK,InventoryPolicy, 
3ID-CFW,AVNBN-ATTACK,LDMSQLAssets, 
3ID-CFW,AVNBN-ATTACK,Org, 
3ID-CFW,AVNBN-ATTACK,PolicyTransfer, 
3ID-CFW,AVNBN-ATTACK,StrategicTransport, 
3ID-CFW,AVNBN-ATTACK,UI, 
3ID-CFW,AVNBN-ATTACK,XMLAssetPrototype, 
3ID-CFW,AVNBN-TRANSPORT,AntsAssets, 
3ID-CFW,AVNBN-TRANSPORT,Demand, 
3ID-CFW,AVNBN-TRANSPORT,GLS, 
3ID-CFW,AVNBN-TRANSPORT,InventoryManagement, 
3ID-CFW,AVNBN-TRANSPORT,InventoryPolicy, 
3ID-CFW,AVNBN-TRANSPORT,LDMSQLAssets, 
3ID-CFW,AVNBN-TRANSPORT,Org, 
3ID-CFW,AVNBN-TRANSPORT,PolicyTransfer, 
3ID-CFW,AVNBN-TRANSPORT,StrategicTransport, 
3ID-CFW,AVNBN-TRANSPORT,UI, 
3ID-CFW,AVNBN-TRANSPORT,XMLAssetPrototype, 
3ID-CFW,BDE-HHC,AntsAssets, 
3ID-CFW,BDE-HHC,GLS, 
3ID-CFW,BDE-HHC,LDMSQLAssets, 
3ID-CFW,BDE-HHC,Org, 
3ID-CFW,BDE-HHC,PolicyTransfer, 
3ID-CFW,BDE-HHC,StrategicTransport, 
3ID-CFW,BDE-HHC,UI, 
3ID-CFW,BDE-HHC,XMLAssetPrototype, 
3ID-CFW,CAVSQDN,AntsAssets, 
3ID-CFW,CAVSQDN,Demand, 
3ID-CFW,CAVSQDN,GLS, 
3ID-CFW,CAVSQDN,InventoryManagement, 
3ID-CFW,CAVSQDN,InventoryPolicy, 
3ID-CFW,CAVSQDN,LDMSQLAssets, 
3ID-CFW,CAVSQDN,Org, 
3ID-CFW,CAVSQDN,PolicyTransfer, 
3ID-CFW,CAVSQDN,StrategicTransport, 
3ID-CFW,CAVSQDN,UI, 
3ID-CFW,CAVSQDN,XMLAssetPrototype, 
3ID-CFW,CORPS-MAINT,AntsAssets, 
3ID-CFW,CORPS-MAINT,GLS, 
3ID-CFW,CORPS-MAINT,LDMSQLAssets, 
3ID-CFW,CORPS-MAINT,Org, 
3ID-CFW,CORPS-MAINT,PolicyTransfer, 
3ID-CFW,CORPS-MAINT,StrategicTransport, 
3ID-CFW,CORPS-MAINT,UI, 
3ID-CFW,CORPS-MAINT,XMLAssetPrototype, 
3ID-CFW,DASB,AntsAssets, 
3ID-CFW,DASB,Demand, 
3ID-CFW,DASB,GLS, 
3ID-CFW,DASB,InventoryManagement, 
3ID-CFW,DASB,InventoryPolicy, 
3ID-CFW,DASB,LDMSQLAssets, 
3ID-CFW,DASB,Org, 
3ID-CFW,DASB,PolicyTransfer, 
3ID-CFW,DASB,StrategicTransport, 
3ID-CFW,DASB,SubsistenceInventoryManagement, 
3ID-CFW,DASB,TriggerManager, 
3ID-CFW,DASB,UI, 
3ID-CFW,DASB,XMLAssetPrototype, 
3ID-CFW,DISCOM-HHC,AntsAssets, 
3ID-CFW,DISCOM-HHC,GLS, 
3ID-CFW,DISCOM-HHC,LDMSQLAssets, 
3ID-CFW,DISCOM-HHC,Org, 
3ID-CFW,DISCOM-HHC,PolicyTransfer, 
3ID-CFW,DISCOM-HHC,StrategicTransport, 
3ID-CFW,DISCOM-HHC,TriggerManager, 
3ID-CFW,DISCOM-HHC,UI, 
3ID-CFW,DISCOM-HHC,XMLAssetPrototype, 
3ID-CFW,DIV-HHC,AntsAssets, 
3ID-CFW,DIV-HHC,ConstructionExpander, 
3ID-CFW,DIV-HHC,DIVPolicy, 
3ID-CFW,DIV-HHC,GLS, 
3ID-CFW,DIV-HHC,LDMSQLAssets, 
3ID-CFW,DIV-HHC,Org, 
3ID-CFW,DIV-HHC,PolicyTransfer, 
3ID-CFW,DIV-HHC,StrategicTransport, 
3ID-CFW,DIV-HHC,UI, 
3ID-CFW,DIV-HHC,XMLAssetPrototype, 
3ID-CFW,DLAHQ,DLAHQ, 
3ID-CFW,DLAHQ,PolicyTransfer, 
3ID-CFW,DLAHQ,TimePhasedOrg, 
3ID-CFW,DLAHQ,UI, 
3ID-CFW,ENGBN,AntsAssets, 
3ID-CFW,ENGBN,Demand, 
3ID-CFW,ENGBN,GLS, 
3ID-CFW,ENGBN,InventoryManagement, 
3ID-CFW,ENGBN,InventoryPolicy, 
3ID-CFW,ENGBN,LDMSQLAssets, 
3ID-CFW,ENGBN,Org, 
3ID-CFW,ENGBN,PolicyTransfer, 
3ID-CFW,ENGBN,StrategicTransport, 
3ID-CFW,ENGBN,SubsistenceAssets, 
3ID-CFW,ENGBN,SubsistenceDemand, 
3ID-CFW,ENGBN,UI, 
3ID-CFW,ENGBN,XMLAssetPrototype, 
3ID-CFW,FABN,AntsAssets, 
3ID-CFW,FABN,Demand, 
3ID-CFW,FABN,GLS, 
3ID-CFW,FABN,InventoryManagement, 
3ID-CFW,FABN,InventoryPolicy, 
3ID-CFW,FABN,LDMSQLAssets, 
3ID-CFW,FABN,Org, 
3ID-CFW,FABN,PolicyTransfer, 
3ID-CFW,FABN,StrategicTransport, 
3ID-CFW,FABN,SubsistenceAssets, 
3ID-CFW,FABN,SubsistenceDemand, 
3ID-CFW,FABN,UI, 
3ID-CFW,FABN,XMLAssetPrototype, 
3ID-CFW,FSB,AntsAssets, 
3ID-CFW,FSB,Demand, 
3ID-CFW,FSB,GLS, 
3ID-CFW,FSB,InventoryManagement, 
3ID-CFW,FSB,InventoryPolicy, 
3ID-CFW,FSB,LDMSQLAssets, 
3ID-CFW,FSB,Org, 
3ID-CFW,FSB,PolicyTransfer, 
3ID-CFW,FSB,StrategicTransport, 
3ID-CFW,FSB,SubsistenceInventoryManagement, 
3ID-CFW,FSB,TriggerManager, 
3ID-CFW,FSB,UI, 
3ID-CFW,FSB,XMLAssetPrototype, 
3ID-CFW,IBCT-OTHER,AntsAssets, 
3ID-CFW,IBCT-OTHER,GLS, 
3ID-CFW,IBCT-OTHER,LDMSQLAssets, 
3ID-CFW,IBCT-OTHER,Org, 
3ID-CFW,IBCT-OTHER,PolicyTransfer, 
3ID-CFW,IBCT-OTHER,StrategicTransport, 
3ID-CFW,IBCT-OTHER,UI, 
3ID-CFW,IBCT-OTHER,XMLAssetPrototype, 
3ID-CFW,IBCT-SPTBN,AntsAssets, 
3ID-CFW,IBCT-SPTBN,Demand, 
3ID-CFW,IBCT-SPTBN,GLS, 
3ID-CFW,IBCT-SPTBN,InventoryManagement, 
3ID-CFW,IBCT-SPTBN,InventoryPolicy, 
3ID-CFW,IBCT-SPTBN,LDMSQLAssets, 
3ID-CFW,IBCT-SPTBN,PolicyTransfer, 
3ID-CFW,IBCT-SPTBN,StrategicTransport, 
3ID-CFW,IBCT-SPTBN,SubsistenceInventoryManagement, 
3ID-CFW,IBCT-SPTBN,TimePhasedOrg, 
3ID-CFW,IBCT-SPTBN,TriggerManager, 
3ID-CFW,IBCT-SPTBN,UI, 
3ID-CFW,IBCT-SPTBN,XMLAssetPrototype, 
3ID-CFW,INFBN,AntsAssets, 
3ID-CFW,INFBN,Demand, 
3ID-CFW,INFBN,GLS, 
3ID-CFW,INFBN,InventoryManagement, 
3ID-CFW,INFBN,InventoryPolicy, 
3ID-CFW,INFBN,LDMSQLAssets, 
3ID-CFW,INFBN,Org, 
3ID-CFW,INFBN,PolicyTransfer, 
3ID-CFW,INFBN,StrategicTransport, 
3ID-CFW,INFBN,SubsistenceAssets, 
3ID-CFW,INFBN,SubsistenceDemand, 
3ID-CFW,INFBN,UI, 
3ID-CFW,INFBN,XMLAssetPrototype, 
3ID-CFW,IOC,AmmoPacking, 
3ID-CFW,IOC,Org, 
3ID-CFW,IOC,PolicyTransfer, 
3ID-CFW,IOC,PrototypeProvider, 
3ID-CFW,IOC,UI, 
3ID-CFW,JTF-HHC,GLS, 
3ID-CFW,JTF-HHC,Org, 
3ID-CFW,JTF-HHC,PolicyTransfer, 
3ID-CFW,JTF-HHC,UI, 
3ID-CFW,MATERIEL-SUPPLY,AntsAssets, 
3ID-CFW,MATERIEL-SUPPLY,Demand, 
3ID-CFW,MATERIEL-SUPPLY,GLS, 
3ID-CFW,MATERIEL-SUPPLY,InventoryManagement, 
