COMPONENT_ALIB_ID,MACHINE_NAME,IP_ADDRESS,OPERATING_SYSTEM,DESCRIPTION,BLANK,CLOCK_SPEED,RAM,BAR_CODE,LOCATION
machine|u109e,u109e,192.168.10.109,Linux,450 MHz|512 MBytes, ,450,512,,TIC
machine|u111e,u111e,192.168.10.111,Linux,450 MHz|512 MBytes, ,450,512,8817,TIC
machine|u113e,u113e,192.168.10.113,Linux,450 MHz|512 MBytes, ,450,512,8835,TIC
machine|u115e,u115e,192.168.10.115,Linux,450 MHz|512 MBytes, ,450,512,8836,TIC
machine|u117e,u117e,192.168.10.117,Linux,450 MHz|512 MBytes, ,450,512,8840,TIC
machine|u119e,u119e,192.168.10.119,Linux,450 MHz|512 MBytes, ,450,512,8815,TIC
machine|u121e,u121e,192.168.20.121,Linux,450 MHz|512 MBytes, ,450,512,8963,TIC
machine|u123e,u123e,192.168.20.123,Linux,450 MHz|512 MBytes, ,450,512,9799,TIC
machine|u125e,u125e,192.168.20.125,Linux,500 MHz|512 MBytes, ,500,512,8904,TIC
machine|u127e,u127e,192.168.20.127,Linux,500 MHz|512 MBytes, ,500,512,8943,TIC
machine|u129e,u129e,192.168.20.129,Linux,500 MHz|512 MBytes, ,500,512,8951,TIC
machine|u131e,u131e,192.168.30.131,Linux,500 MHz|512 MBytes, ,500,512,8948,TIC
machine|u135e,u135e,192.168.30.135,Linux,500 MHz|512 MBytes, ,500,512,9001,TIC
machine|u137e,u137e,192.168.30.137,Linux,500 MHz|512 MBytes, ,500,512,9003,TIC
machine|u139e,u139e,192.168.30.139,Linux,500 MHz|512 MBytes, ,500,512,8950,TIC
machine|u141e,u141e,192.168.40.141,Linux,500 MHz|512 MBytes, ,500,512,9005,TIC
machine|u143e,u143e,192.168.40.143,Linux,500 MHz|512 MBytes, ,500,512,8999,TIC
machine|u145e,u145e,192.168.40.145,Linux,500 MHz|512 MBytes, ,500,512,8906,TIC
machine|u147e,u147e,192.168.40.147,Linux,500 MHz|512 MBytes, ,500,512,9006,TIC
machine|u149e,u149e,192.168.40.149,Linux,500 MHz|512 MBytes, ,500,512,8964,TIC
machine|u150e,u150e,192.168.10.150,WinNT,500 MHz|512 MBytes, ,500,512,8952,TIC
machine|u151e,u151e,192.168.10.151,Linux,500 MHz|512 MBytes, ,500,512,9002,TIC
machine|u153e,u153e,192.168.10.153,Linux,500 MHz|512 MBytes, ,500,512,9000,TIC
machine|u155e,u155e,192.168.10.155,Linux,500 MHz|512 MBytes, ,500,512,8961,TIC
machine|u157e,u157e,192.168.10.157,Linux,500 MHz|512 MBytes, ,500,512,9004,TIC
machine|u159e,u159e,192.168.10.159,Linux,500 MHz|512 MBytes, ,500,512,8905,TIC
machine|u161e,u161e,192.168.10.161,Linux,500 MHz|512 MBytes, ,500,512,8909,TIC
machine|u163e,u163e,192.168.10.163,Linux,500 MHz|512 MBytes, ,500,512,8944,TIC
machine|u165e,u165e,192.168.10.165,Linux,500 MHz|512 MBytes, ,500,512,8945,TIC
machine|u167e,u167e,192.168.10.167,Linux,500 MHz|512 MBytes, ,500,512,8903,TIC
machine|u169e,u169e,192.168.10.169,Linux,500 MHz|512 MBytes, ,500,512,9007,TIC
machine|u171e,u171e,192.168.10.171,Linux,500 MHz|512 MBytes, ,500,512,8947,TIC
machine|u173e,u173e,192.168.10.173,Linux,500 MHz|512 MBytes, ,500,512,8924,TIC
machine|u175e,u175e,192.168.10.175,Linux,500 MHz|512 MBytes, ,500,512,8907,TIC
machine|u177e,u177e,192.168.10.177,Linux,500 MHz|512 MBytes, ,500,512,8912,TIC
machine|u179e,u179e,192.168.10.179,Linux,500 MHz|512 MBytes, ,500,512,8908,TIC
machine|u181p,u181p,192.168.1.181,Linux,500 MHz|512 MBytes, ,500,512,9008,TIC
machine|u183p,u183p,192.168.1.183,Linux,500 MHz|512 MBytes, ,500,512,8949,TIC
machine|u185p,u185p,192.168.1.185,Linux,500 MHz|512 MBytes, ,500,512,8946,TIC
machine|u187p,u187p,192.168.1.187,Linux,500 MHz|512 MBytes, ,500,512,8910,TIC
machine|u189p,u189p,192.168.1.189,Linux,500 MHz|512 MBytes, ,500,512,8962,TIC
machine|u191p,u191p,192.168.1.191,Linux,500 MHz|512 MBytes, ,500,512,8926,TIC
machine|u193p,u193p,192.168.1.193,Linux,500 MHz|512 MBytes, ,500,512,7818,TIC
machine|u195p,u195p,192.168.1.195,Linux,500 MHz|512 MBytes, ,500,512,8959,TIC
machine|u061e,u061e,192.168.0.61,Linux,600 MHz|512 MBytes, ,600,512,8927,TIC
machine|u063e,u063e,192.169.10.63,Linux,700 MHz|512 MBytes, ,700,512,9647,TIC
machine|u065e,u065e,192.168.20.65,Linux,700 MHz|512 MBytes, ,700,512,9650,TIC
machine|u067e,u067e,192.168.30.67,Linux,700 MHz|512 MBytes, ,700,512,9649,TIC
machine|u069e,u069e,192.168.40.69,Linux,700 MHz|512 MBytes, ,700,512,9651,TIC
machine|u060e,u060e,192.168.10.60,WinNT,933 MHz|512 MBytes, ,933,512,9696,TIC
machine|u062e,u062e,192.168.20.62,WinNT,933 MHz|512 MBytes, ,933,512,9680,TIC
machine|u064e,u064e,192.168.30.64,WinNT,933 MHz|512 MBytes, ,933,512,9711,TIC
machine|u066e,u066e,192.168.40.66,WinNT,933 MHz|512 MBytes, ,933,512,9703,TIC
machine|u011e,u011e,192.168.0.11,Linux,933 MHz|512 MBytes, ,933,512,9702,TIC
machine|u013e,u013e,192.168.0.13,Linux,933 MHz|512 MBytes, ,933,512,9699,TIC
machine|u015e,u015e,192.168.10.15,Linux,933 MHz|512 MBytes, ,933,512,9686,TIC
machine|u017e,u017e,192.168.10.17,Linux,933 MHz|512 MBytes, ,933,512,9692,TIC
machine|u019e,u019e,192.168.10.19,Linux,933 MHz|512 MBytes, ,933,512,9683,TIC
machine|u021e,u021e,192.168.20.21,Linux,933 MHz|512 MBytes, ,933,512,9691,TIC
machine|u023e,u023e,192.168.20.23,Linux,933 MHz|512 MBytes, ,933,512,9707,TIC
machine|u025e,u025e,192.168.20.25,Linux,933 MHz|512 MBytes, ,933,512,9688,TIC
machine|u027e,u027e,192.168.20.27,Linux,933 MHz|512 MBytes, ,933,512,9709,TIC
machine|u029e,u029e,192.168.20.29,Linux,933 MHz|512 MBytes, ,933,512,9700,TIC
machine|u031e,u031e,192.168.30.31,Linux,933 MHz|512 MBytes, ,933,512,9687,TIC
machine|u033e,u033e,192.168.30.33,Linux,933 MHz|512 MBytes, ,933,512,9701,TIC
machine|u035e,u035e,192.169.30.35,Linux,933 MHz|512 MBytes, ,933,512,9708,TIC
machine|u037e,u037e,192.168.30.37,Linux,933 MHz|512 MBytes, ,933,512,9682,TIC
machine|u039e,u039e,192.168.30.39,Linux,933 MHz|512 MBytes, ,933,512,9695,TIC
machine|u041e,u041e,192.168.40.41,Linux,933 MHz|512 MBytes, ,933,512,9681,TIC
machine|u043e,u043e,192.168.40.43,Linux,933 MHz|512 MBytes, ,933,512,9698,TIC
machine|u045e,u045e,192.168.40.45,Linux,933 MHz|512 MBytes, ,933,512,9705,TIC
machine|u047e,u047e,192.168.40.47,Linux,933 MHz|512 MBytes, ,933,512,9685,TIC
machine|u049e,u049e,192.168.40.49,Linux,933 MHz|512 MBytes, ,933,512,9689,TIC
machine|u051p,u051p,192.168.1.51,Linux,933 MHz|512 MBytes, ,933,512,9704,TIC
machine|u053p,u053p,192.168.1.53,Linux,933 MHz|512 MBytes, ,933,512,9710,TIC
machine|u055p,u055p,192.168.1.55,Linux,933 MHz|512 MBytes, ,933,512,9694,TIC
machine|u057p,u057p,192.168.1.57,Linux,933 MHz|512 MBytes, ,933,512,9654,TIC
machine|u059p,u059p,192.168.1.59,Linux,933 MHz|512 MBytes, ,933,512,9690,TIC
