CFW_ID,ORG_ID,BLANK,ORIG_ORDER,ORG_ORDER,UIC
1AD-CFW,5-MAINTCO, ,123,103,WB1XAA
1AD-CFW,632-MAINTCO, ,139,104,WB40AA
1AD-CFW,66-MDM-TRKCO, ,133,105,WCNXAA
1AD-CFW,68-MDM-TRKCO, ,134,106,WCNZAA
1AD-CFW,69-ADABDE, ,103,107,WAVNAA
1AD-CFW,69-CHEMCO, ,24,108,WA8RAA
1AD-CFW,6-TCBN, ,136,109,WCKKAA
1AD-CFW,702-EODDET, ,128,110,WB54Y1
1AD-CFW,70-ENGBN, ,43,111,WAZ8AA
1AD-CFW,71-MAINTBN, ,78,112,WB0RAA
1AD-CFW,71-ORDCO, ,83,113,WET5AA
1AD-CFW,720-EODDET, ,129,114,WB6CRD
1AD-CFW,77-MAINTCO, ,64,115,WB35AA
1AD-CFW,7-CSG, ,77,116,WH7MAA
1AD-CFW,7-TCGP-TPTDD, ,118,117,WD1HAA
1AD-CFW,900-POL-SUPPLYCO, ,92,118,WSTMAA
1AD-CFW,AVNBDE-1-AD, ,51,119,WDJUAA
1AD-CFW,AWR-2, ,115,120,
1AD-CFW,DISCOM-1-AD, ,49,121,WAPLAA
1AD-CFW,DIVARTY-1-AD, ,46,122,WAPKAA
1AD-CFW,DLAHQ, ,3,123,
1AD-CFW,FORSCOM, ,2,124,
1AD-CFW,HNS, ,5,125,
1AD-CFW,JSRCMDSE, ,9,126,
1AD-CFW,NATO, ,8,127,
1AD-CFW,NCA, ,1,128
1AD-CFW,OSC, ,4,129
1AD-CFW,RSA, ,117,130
1AD-CFW,USAEUR, ,7,131
1AD-CFW,USEUCOM, ,6,132
TRANSCOM-STUB-CFW,TRANSCOM, ,10,133
TRANSCOM-CFW,TRANSCOM, ,10,134
TRANSCOM-CFW,GlobalSea, ,11,135
TRANSCOM-CFW,GlobalAir, ,12,136
TRANSCOM-CFW,ShipPacker, ,13,137
TRANSCOM-CFW,PlanePacker, ,14,138
TRANSCOM-CFW,CONUSGround, ,15,139
TRANSCOM-CFW,TheaterGround, ,16,140
