TID_ID,TI_ID,SHPPNG_CNFGRTN_CD,CGO_TP_CD,CGO_XTNT_CD,CGO_CNTZN_CD,MATERIEL_ITEM_IDENTIFIER,TID_VLDTN_CD,TYPE_PACK_CODE,TID_RDBL_CD,FTY_CD,TID_PRFNC_CD,TID_LG_DM,TID_WDTH_DIM,TID_EQ_TY_CD,TID_HT_DM,TID_WT,TID_VL,TID_CGO_CPCTY_QY,TID_MAX_LDED_HT_DM,TID_HVY_LFT_CD,TID_AR_CGO_LD_CD,TID_CB_DM,TID_MN_GND_CLNC_DM,TID_FTPRNT_AR,TID_PLZTN_CD,TID_CGO_CMPT_LG_DM,TID_CGO_CMPT_WD_DM,TID_CGO_CMPT_HT_DM,TID_CGOCMPBD_HT_DM,TID_CGO_BED_HT_DM,TID_VNTG_CD,TID_WHL_BS_DM,TID_TLSCPD_LG_DM,TID_EMTY_LD_CLS_ID,TID_LDED_LD_CLS_ID,TID_MDL_ID,TID_TRLR_TNG_LG_DM,TID_CRAF_RQMT_TX,BLANK
 01,F79334,D,R,2,B, 6230010565238,,,R,,,151,65,6,50,1670,284,0,0,A,,,0,69,,0,0,0,,0,,0,,1,0001,NONE,,, 
 01,G17460,D,R,2,D, 6115013172133,,,R,,,165,95,7,87,6813,790,,0,A,,0,0,0,N,0,0,0,0,0,,0,,4,0004,PU-806,,, 
 01,G27844,D,R,1,D, 3895000900434,,,R,,,340,99,8,122,24700,2377,,0,C,,137,0,0,N,0,0,0,0,0,,0,,15,0015,D60,,, 
 01,G34805,B,R,2,D, 2330009115072,,,R,,,130,86,6,48,1100,311,,48,A,,0,0,470,N,0,0,0,0,0,,0,,1,0004,M707,,, 
 01,G34815,B,R,2,D, 2330002266076,,,R,,,181,96,6,51,3350,513,,51,A,,0,0,1000,N,0,0,0,0,0,,0,,2,0008,M689,,, 
 01,G35226,D,R,2,D, 2330002875203,,,R,,,119,97,7,58,3450,388,,58,A,,0,17,1217,N,0,0,0,0,0,,54,,2,0011,M198,,, 
 01,G35851,D,R,2,D, 6115013172136,,,R,,,165,95,7,84,5700,762,,0,A,,112,0,0,N,0,0,0,0,0,,0,,3,0003,PU-803,,, 
 01,G35919,D,R,2,D, 6115013172135,,,R,,,165,95,7,84,5730,762,,0,A,,108,0,0,N,0,0,0,0,0,,0,,3,0003,PU-804,,, 
 01,G37273,D,R,2,B, 6115000331373,,,R,,,144,74,6,79,2840,488,,0,A,,103,0,0,N,0,0,0,0,0,,0,,2,0002,PU-751/M,,, 
 01,G38140,D,A,3,B, 6115011613992,,,N,,,50,45,6,34,400,45,,0,A,,0,0,0,Y,0,0,0,0,0,,0,,0,0000,10KW DC 28V,,, 
 01,G40744,D,R,2,B, 6115000331389,,,R,,,144,74,6,78,2525,481,,0,A,,103,0,0,N,0,0,0,0,0,,0,,1,0001,PU-753/M,,, 
 01,G42170,D,R,2,B, 6115013199032,,,R,,,147,84,6,76,2570,543,,0,A,,0,0,0,N,0,0,0,0,0,,0,,2,0002,PU-798,,, 
 01,G42238,D,R,2,B, 6115013320741,,,R,,,147,84,6,76,2320,543,,0,A,,0,0,0,N,0,0,0,0,0,,0,,1,0001,PU-797,,, 
 01,G53403,D,R,2,B, 6115013134283,,,R,,,147,84,6,76,2670,543,,0,A,,0,0,0,N,0,0,0,0,0,,0,,2,0002,PU-799,,, 
 01,G53778,D,R,2,D, 6115013172138,,,R,,,165,95,6,84,4920,762,,0,A,,0,0,0,N,0,0,0,0,0,,0,,3,0003,PU-802,,, 
 01,G53871,D,R,2,D, 6115003949581,,,R,,,165,93,7,95,5710,844,,0,A,,0,0,0,N,0,0,0,0,0,,0,,3,0003,PU-760/M,,, 
 01,G74783,B,A,1,D, 3805011504795,,,N,,,327,95,8,127,31300,2284,,0,C,,0,14,0,N,0,0,0,0,0,,0,,0,0000,CCE 130G,,, 
 01,G78306,D,R,2,D, 6115013172134,,,R,,,165,95,6,87,6720,790,,0,A,,115,0,0,N,0,0,0,0,0,,0,,4,0004,PU-805,,, 
 01,H01855,B,R,1,D, 4940008778730,,,R,,,422,96,7,132,15490,3095,,0,J,,0,0,0,N,0,0,0,0,0,,0,,9,0021,AN/ASM-189,,, 
 01,H28647,8,B,0,D, 1520011069519,,,N,,,684,576,H,207,13614,47196,,0,J,,0,0,0,N,0,0,0,0,0,,0,,0,0000,AH-64A,,, 
 01,H30616,8,B,0,D, 1520010820686,,,N,,,778,644,H,205,16250,59440,,0,J,,0,0,0,N,0,0,0,0,0,,0,,0,0000,EH-60A,,, 
 01,H56391,B,R,1,D, 4210002028076,,,R,,,272,95,4,106,15920,1585,,0,B,,142,0,0,N,0,0,0,0,0,,0,,9,0009,CLASS 530,,, 
 01,H57642,B,A,1,D, 2350013050028,,,N,,,423,128,E,143,56400,4481,,0,K,,0,15,0,N,0,0,0,0,0,,0,,0,0000,M109A6,,, 
 01,J35492,B,R,2,D, 6115009498409,,,R,,,190,97,7,93,6600,992,,0,A,,0,17,0,N,0,0,0,0,0,,120,,4,0004,PU-405/M,,, 
 01,J36383,B,R,2,D, 6115007386342,,,R,,,190,97,7,83,7120,886,,0,A,,0,9,0,N,0,0,0,0,0,,120,,4,0004,PU-406A/M,,, 
 01,J46252,B,R,2,C, 6115008733915,,,R,,,147,77,6,83,2100,544,,0,A,,0,0,0,N,0,0,0,0,0,,100,,1,0001,PU-625/G,,, 
 01,J47617,B,R,2,B, 6115007386340,,,R,,,147,74,6,74,2840,466,,0,A,,103,0,0,N,0,0,0,0,0,,100,,2,0002,PU-620/M,,, 
 01,J49055,D,A,3,B, 6115005112210,,,N,,,73,30,6,34,557,43,,0,A,,61,0,0,Y,0,0,0,0,0,,0,,0,0000,EAPU,,, 
 01,K24931,B,A,3,B, 4520004467314,,,N,,,91,40,6,51,600,108,,0,A,,45,0,0,Y,0,0,0,0,0,,0,,0,0000,BT400-30,,, 
 01,K25215,D,R,2,D, 3895008389180,,,R,,,169,88,9,104,8530,895,,0,A,,128,0,0,N,0,0,0,0,0,,121,,5,0005,NONE,,, 
 01,K28601,0,R,2,D, 7360012009828,,,R,,,254,91,7,93,5480,1244,,0,A,,109,0,0,N,0,0,0,0,0,,0,,3,0003,COMPANY LVL,,, 
 01,K32293,8,B,0,D, 1520010350266,,,N,,,779,644,H,205,17000,59516,,0,J,,0,0,312,N,139,73,53,26,26,,0,,0,0000,UH-60A,,, 
 01,L21437,B,R,2,B, 3895000666015,,,R,,,144,68,9,68,1830,386,,0,A,,64,0,0,N,0,0,0,0,0,,0,,1,0001,US84HD3,,, 
 01,L28351,D,R,2,D, 7360001387782,,,R,,,183,94,6,96,5340,956,,96,A,,109,0,250,N,0,0,0,0,0,,0,,3,0005,MFK75,,, 
 01,L33800,D,R,1,D, 6640005382736,,,R,,,317,98,7,122,14740,2194,,0,B,,0,0,0,N,0,0,0,0,0,,0,,9,0009,NONE,,, 
 01,L43664,B,A,1,D, 5420008892020,,,N,,,468,144,C,95,90425,3705,,0,L,,0,0,0,N,0,0,0,0,0,,0,,45,0059,M60 CHASSIS,,, 
 01,L44894,D,A,2,D, 1055010920596,,,N,,,275,117,C,104,43941,1937,,0,C,,128,17,0,N,0,0,0,0,0,,171,,0,0000,MLRS,,, 
 01,L48315,D,R,2,D, 3510007825294,,,R,,,198,98,7,97,9015,1090,,97,A,,0,0,5,N,0,0,0,0,0,,0,,5,0005,ELT9T,,, 
 01,L67342,D,R,2,D, 1055012035883,,,R,,,187,96,7,71,6109,738,,0,A,,136,0,0,N,0,0,0,0,0,,0,,4,0004,MICLIC,,, 
 01,L69306,0,R,1,D, 5820012470981,,,R,,,189,87,3,107,8180,1019,,0,A,,102,0,0,N,0,0,0,0,0,,0,,5,0005,AN/TRC-190V1,,, 
 01,L69442,0,R,1,D, 5820012470982,,,R,,,189,87,3,107,8300,1019,,0,A,,104,0,0,N,0,0,0,0,0,,0,,5,0005,AN/TRC-190V3,,, 
 01,L76315,B,A,1,D, 3805006025006,,,N,,,316,125,8,152,53030,3475,,0,C,,194,0,0,N,0,0,0,0,0,,0,,27,0076,175B,,, 
 01,L76321,B,A,1,D, 3805006025013,,,N,,,316,122,8,152,53640,3392,,0,C,,184,0,0,N,0,0,0,0,0,,0,,27,0076,175B,,, 
