ORG_ID,ORG_NAME,UIC,BLANK,ORIG_ORDER,IN_SMALL_1AD,IN_TINY_1AD,,SUPERIOR_ORG_ID,1,2,3,4,5
77-MAINTCO,77-MAINTCO,WB35AA, ,64,,,,18-MAINTBN,,,,,77-MAINTCO
226-MAINTCO,226-MAINTCO,WD4PAA, ,65,,,,18-MAINTBN,,,,,226-MAINTCO
263-FLDSVC-CO,263-FLDSVC-CO,WQ1FAA, ,66,,,,18-MAINTBN,,,,,263-FLDSVC-CO
227-SUPPLYCO,227-SUPPLYCO,WEVGAA, ,67,1,1,,18-MAINTBN,,,,,227-SUPPLYCO
106-TCBN,106-TCBN,WCKVAA, ,68,1,1,,16-CSG,,,,106-TCBN,
594-MDM-TRKCO,594-MDM-TRKCO,WCPGAA, ,69,,,,106-TCBN,,,,,594-MDM-TRKCO
372-CGO-TRANSCO,372-CGO-TRANSCO,WFSRAA, ,70,,,,106-TCBN,,,,,372-CGO-TRANSCO
15-PLS-TRKCO,15-PLS-TRKCO,WCNPAA, ,71,,,,106-TCBN,,,,,15-PLS-TRKCO
238-POL-TRKCO,238-POL-TRKCO,WS1AAA, ,72,,,,106-TCBN,,,,,238-POL-TRKCO
3-SUPCOM-HQ,3-SUPCOM-HQ,WBG0AA, ,73,1,1,,5-CORPS,,3-SUPCOM-HQ,,,
208-SCCO,208-SCCO,WCF0AA, ,74,,,,3-SUPCOM-HQ,,,,208-SCCO,
27-TCBN-MVTCTRL,27-TCBN-MVTCTRL,WCPPAA, ,75,,,,3-SUPCOM-HQ,,,27-TCBN-MVTCTRL,,
19-MMC,19-MMC,WH3FAA, ,76,,,,3-SUPCOM-HQ,,,19-MMC,,
7-CSG,7-CSG,WH7MAA, ,77,1,1,,3-SUPCOM-HQ,,,7-CSG,,
71-MAINTBN,71-MAINTBN,WB0RAA, ,78,1,1,,7-CSG,,,,71-MAINTBN,
240-SSCO,240-SSCO,WE7PAA, ,79,1,,,71-MAINTBN,,,,,240-SSCO
317-MAINTCO,317-MAINTCO,WET9AA, ,80,,,,71-MAINTBN,,,,,317-MAINTCO
597-MAINTCO,597-MAINTCO,WHLMAA, ,81,1,,,71-MAINTBN,,,,,597-MAINTCO
565-RPRPTCO,565-RPRPTCO,WDWTAA, ,82,1,1,,71-MAINTBN,,,,,565-RPRPTCO
71-ORDCO,71-ORDCO,WET5AA, ,83,,,,71-MAINTBN,,,,,71-ORDCO
561-SSBN,561-SSBN,WDEEAA, ,84,,,,7-CSG,,,,561-SSBN,
541-POL-TRKCO,541-POL-TRKCO,WCNDAA, ,85,,,,561-SSBN,,,,,541-POL-TRKCO
584-MAINTCO,584-MAINTCO,WEYBAA, ,86,,,,561-SSBN,,,,,584-MAINTCO
181-TCBN,181-TCBN,WCKXAA, ,87,1,,,7-CSG,,,,181-TCBN,
377-HVY-TRKCO,377-HVY-TRKCO,WCMBAA, ,88,,,,181-TCBN,,,,,377-HVY-TRKCO
41-POL-TRKCO,41-POL-TRKCO,WCMPAA, ,89,,,,181-TCBN,,,,,41-POL-TRKCO
51-MDM-TRKCO,51-MDM-TRKCO,WCNTAA, ,90,,,,181-TCBN,,,,,51-MDM-TRKCO
316-POL-SUPPLYBN,316-POL-SUPPLYBN,WSRPAA, ,91,1,,,7-CSG,,,,316-POL-SUPPLYBN,
900-POL-SUPPLYCO,900-POL-SUPPLYCO,WSTMAA, ,92,1,,,316-POL-SUPPLYBN,,,,,900-POL-SUPPLYCO
515-POL-TRKCO,515-POL-TRKCO,WCNBAA, ,93,,,,316-POL-SUPPLYBN,,,,,515-POL-TRKCO
125-ORDBN,125-ORDBN,WQ91AA, ,94,1,,,7-CSG,,,,125-ORDBN,
452-ORDCO,452-ORDCO,WQ56AA, ,95,,,,125-ORDBN,,,,,452-ORDCO
529-ORDCO,529-ORDCO,WB5KAA, ,96,,,,125-ORDBN,,,,,529-ORDCO
5-CORPS-REAR,5-CORPS-REAR,, ,97,1,,,5-CORPS,,5-CORPS-REAR,,,
11-AVN-RGT,11-AVN-RGT,WAAFAA, ,98,,,,5-CORPS-REAR,,,11-AVN-RGT,,
12-AVNBDE,12-AVNBDE,WCYPAA, ,99,,,,5-CORPS-REAR,,,12-AVNBDE,,
130-ENGBDE,130-ENGBDE,WHDLAA, ,100,1,,,5-CORPS-REAR,,,130-ENGBDE,,
52-ENGBN-CBTHVY,52-ENGBN-CBTHVY,WNAHAA, ,101,1,,,130-ENGBDE,,,,52-ENGBN-CBTHVY,
244-ENGBN-CBTHVY,244-ENGBN-CBTHVY,WS5DAA, ,102,,,,130-ENGBDE,,,,244-ENGBN-CBTHVY,
69-ADABDE,69-ADABDE,WAVNAA, ,103,,,,5-CORPS-REAR,,,69-ADABDE,,
286-ADA-SCCO,286-ADA-SCCO,WAYRAA, ,104,,,,69-ADABDE,,,,286-ADA-SCCO,
18-MPBDE,18-MPBDE,WFPEAA, ,105,,,,5-CORPS-REAR,,,18-MPBDE,,
205-MIBDE,205-MIBDE,WH8HAA, ,106,,,,5-CORPS-REAR,,,205-MIBDE,,
30-MEDBDE,30-MEDBDE,WBG7AA, ,107,,,,5-CORPS-REAR,,,30-MEDBDE,,
22-SIGBDE,22-SIGBDE,WCDWAA, ,108,,,,5-CORPS-REAR,,,22-SIGBDE,,
5-CORPS-ARTY,5-CORPS-ARTY,WA0TAA,,109,1,,,5-CORPS,,5-CORPS-ARTY,,,
41-FABDE,41-FABDE,WA00AA, ,110,1,,,5-CORPS-ARTY,,,41-FABDE,,
2-4-FABN-MLRS,2-4-FABN-MLRS,WH1SAA, ,111,,,,41-FABDE,,,,2-4-FABN-MLRS,
1-27-FABN,1-27-FABN,WAKRAA, ,112,1,,,41-FABDE,,,,1-27-FABN,
3-13-FABN-155,3-13-FABN-155,WG1DAA, ,113,,,,41-FABDE,,,,3-13-FABN-155,
21-TSC-HQ,21-TSC-HQ,WNBSAA, ,114,1,1,,5-CORPS,,21-TSC-HQ,,,
AWR-2,AWR-2,, ,115,1,1,,21-TSC-HQ,,,AWR-2,,
200-MMC,200-MMC,WNBPAA, ,116,,,,21-TSC-HQ,,,200-MMC,,
RSA,RSA,, ,117,,,,21-TSC-HQ,,,RSA,,
7-TCGP-TPTDD,7-TCGP-TPTDD,WD1HAA, ,118,,,,21-TSC-HQ,,,7-TCGP-TPTDD,,
29-SPTGP,29-SPTGP,WCAYAA, ,119,1,1,,21-TSC-HQ,,,29-SPTGP,,
51-MAINTBN,51-MAINTBN,WB0HAA, ,120,1,1,,29-SPTGP,,,,51-MAINTBN,
512-MAINTCO,512-MAINTCO,WB38AA, ,121,,,,51-MAINTBN,,,,,512-MAINTCO
574-SSCO,574-SSCO,WDCQAA, ,122,1,,,51-MAINTBN,,,,,574-SSCO
5-MAINTCO,5-MAINTCO,WB1XAA, ,123,,,,51-MAINTBN,,,,,5-MAINTCO
343-SUPPLYCO,343-SUPPLYCO,WSS7AA, ,124,1,1,,51-MAINTBN,,,,,343-SUPPLYCO
18-PERISH-SUBPLT,18-PERISH-SUBPLT,WDNZAA, ,125,1,,,51-MAINTBN,,,,,18-PERISH-SUBPLT
191-ORDBN,191-ORDBN,WFMVAA, ,126,1,1,,29-SPTGP,,,,191-ORDBN,
23-ORDCO,23-ORDCO,WB3TAA, ,127,,,,191-ORDBN,,,,,23-ORDCO
702-EODDET,702-EODDET,WB54Y1, ,128,,,,191-ORDBN,,,,,702-EODDET
720-EODDET,720-EODDET,WB6CRD, ,129,,,,191-ORDBN,,,,,720-EODDET
24-ORDCO,24-ORDCO,WDHJAA, ,130,,,,191-ORDBN,,,,,24-ORDCO
37-TRANSGP,37-TRANSGP,WCJZAA, ,131,1,1,,21-TSC-HQ,,,37-TRANSGP,,
28-TCBN,28-TCBN,WCKNAA, ,132,1,1,,37-TRANSGP,,,,28-TCBN,
66-MDM-TRKCO,66-MDM-TRKCO,WCNXAA, ,133,,,,28-TCBN,,,,,66-MDM-TRKCO
68-MDM-TRKCO,68-MDM-TRKCO,WCNZAA, ,134,,,,28-TCBN,,,,,68-MDM-TRKCO
109-MDM-TRKCO,109-MDM-TRKCO,WH38AA, ,135,,,,28-TCBN,,,,,109-MDM-TRKCO
6-TCBN,6-TCBN,WCKKAA, ,136,1,1,,37-TRANSGP,,,,6-TCBN,
416-POL-TRKCO,416-POL-TRKCO,WNCNAA, ,137,,,,6-TCBN,,,,,416-POL-TRKCO
110-POL-SUPPLYCO,110-POL-SUPPLYCO,WELKAA, ,138,1,1,,6-TCBN,,,,,110-POL-SUPPLYCO
632-MAINTCO,632-MAINTCO,WB40AA, ,139,,,,6-TCBN,,,,,632-MAINTCO
