ORG_ID,ORG_NAME,UIC,ORG_CLASS,BLANK
"41-POL-TRKCO","41-POL-TRKCO","WCMPAA","MilitaryOrganization",
"51-MDM-TRKCO","51-MDM-TRKCO","WCNTAA","MilitaryOrganization",
"316-POL-SUPPLYBN","316-POL-SUPPLYBN","WSRPAA","MilitaryOrganization",
"900-POL-SUPPLYCO","900-POL-SUPPLYCO","WSTMAA","MilitaryOrganization",
"515-POL-TRKCO","515-POL-TRKCO","WCNBAA","MilitaryOrganization",
"125-ORDBN","125-ORDBN","WQ91AA","MilitaryOrganization",
"452-ORDCO","452-ORDCO","WQ56AA","MilitaryOrganization",
"529-ORDCO","529-ORDCO","WB5KAA","MilitaryOrganization",
"5-CORPS-REAR","5-CORPS-REAR",\N,"MilitaryOrganization",
"11-AVN-RGT","11-AVN-RGT","WAAFAA","MilitaryOrganization",
"12-AVNBDE","12-AVNBDE","WCYPAA","MilitaryOrganization",
"130-ENGBDE","130-ENGBDE","WHDLAA","MilitaryOrganization",
"52-ENGBN-CBTHVY","52-ENGBN-CBTHVY","WNAHAA","MilitaryOrganization",
"244-ENGBN-CBTHVY","244-ENGBN-CBTHVY","WS5DAA","MilitaryOrganization",
"69-ADABDE","69-ADABDE","WAVNAA","MilitaryOrganization",
"286-ADA-SCCO","286-ADA-SCCO","WAYRAA","MilitaryOrganization",
"18-MPBDE","18-MPBDE","WFPEAA","MilitaryOrganization",
"205-MIBDE","205-MIBDE","WH8HAA","MilitaryOrganization",
"30-MEDBDE","30-MEDBDE","WBG7AA","MilitaryOrganization",
"22-SIGBDE","22-SIGBDE","WCDWAA","MilitaryOrganization",
"5-CORPS-ARTY","5-CORPS-ARTY","WA0TAA","MilitaryOrganization",
"41-FABDE","41-FABDE","WA00AA","MilitaryOrganization",
"2-4-FABN-MLRS","2-4-FABN-MLRS","WH1SAA","MilitaryOrganization",
"1-27-FABN","1-27-FABN","WAKRAA","MilitaryOrganization",
"3-13-FABN-155","3-13-FABN-155","WG1DAA","MilitaryOrganization",
"21-TSC-HQ","21-TSC-HQ","WNBSAA","MilitaryOrganization",
"AWR-2","AWR-2",\N,"MilitaryOrganization",
"200-MMC","200-MMC","WNBPAA","MilitaryOrganization",
"RSA","RSA",\N,"MilitaryOrganization",
"7-TCGP-TPTDD","7-TCGP-TPTDD","WD1HAA","MilitaryOrganization",
"29-SPTGP","29-SPTGP","WCAYAA","MilitaryOrganization",
"51-MAINTBN","51-MAINTBN","WB0HAA","MilitaryOrganization",
"512-MAINTCO","512-MAINTCO","WB38AA","MilitaryOrganization",
"574-SSCO","574-SSCO","WDCQAA","MilitaryOrganization",
"5-MAINTCO","5-MAINTCO","WB1XAA","MilitaryOrganization",
"343-SUPPLYCO","343-SUPPLYCO","WSS7AA","MilitaryOrganization",
"18-PERISH-SUBPLT","18-PERISH-SUBPLT","WDNZAA","MilitaryOrganization",
"191-ORDBN","191-ORDBN","WFMVAA","MilitaryOrganization",
"23-ORDCO","23-ORDCO","WB3TAA","MilitaryOrganization",
"702-EODDET","702-EODDET","WB54Y1","MilitaryOrganization",
"720-EODDET","720-EODDET","WB6CRD","MilitaryOrganization",
"24-ORDCO","24-ORDCO","WDHJAA","MilitaryOrganization",
"37-TRANSGP","37-TRANSGP","WCJZAA","MilitaryOrganization",
"28-TCBN","28-TCBN","WCKNAA","MilitaryOrganization",
"66-MDM-TRKCO","66-MDM-TRKCO","WCNXAA","MilitaryOrganization",
"68-MDM-TRKCO","68-MDM-TRKCO","WCNZAA","MilitaryOrganization",
"109-MDM-TRKCO","109-MDM-TRKCO","WH38AA","MilitaryOrganization",
"6-TCBN","6-TCBN","WCKKAA","MilitaryOrganization",
"416-POL-TRKCO","416-POL-TRKCO","WNCNAA","MilitaryOrganization",
"110-POL-SUPPLYCO","110-POL-SUPPLYCO","WELKAA","MilitaryOrganization",
"632-MAINTCO","632-MAINTCO","WB40AA","MilitaryOrganization",
