ROLE,SUPPORTING_ORG_ID,SUPPORTED_ORG_ID,START_DATE,END_DATE,BLANK
"PackagedPOLSupplyProvider","501-FSB","1-BDE-1-AD","2005-01-01 00:00:00",\N,
"MaterielTransportProvider","106-TCBN","102-POL-SUPPLYCO","2005-01-01 00:00:00",\N,
"FuelTransportProvider","106-TCBN","102-POL-SUPPLYCO","2005-01-01 00:00:00",\N,
"FuelSupplyProvider","110-POL-SUPPLYCO","102-POL-SUPPLYCO","2005-01-01 00:00:00",\N,
"PackagedPOLSupplyProvider","110-POL-SUPPLYCO","102-POL-SUPPLYCO","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","3-SUPCOM-HQ","102-POL-SUPPLYCO","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","3-SUPCOM-HQ","106-TCBN","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","21-TSC-HQ","109-MDM-TRKCO","2005-01-01 00:00:00",\N,
"FuelSupplyProvider","240-SSCO","11-AVN-RGT","2005-01-01 00:00:00",\N,
"PackagedPOLSupplyProvider","240-SSCO","11-AVN-RGT","2005-01-01 00:00:00",\N,
"SubsistenceSupplyProvider","240-SSCO","11-AVN-RGT","2005-01-01 00:00:00",\N,
"SparePartsProvider","597-MAINTCO","11-AVN-RGT","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","5-CORPS-REAR","11-AVN-RGT","2005-01-01 00:00:00",\N,
"AmmunitionProvider","125-ORDBN","11-AVN-RGT","2005-01-01 00:00:00",\N,
"MaterielTransportProvider","28-TCBN","110-POL-SUPPLYCO","2005-01-01 00:00:00",\N,
"FuelTransportProvider","6-TCBN","110-POL-SUPPLYCO","2005-01-01 00:00:00",\N,
"FuelSupplyProvider","HNS","110-POL-SUPPLYCO","2005-01-01 00:00:00",\N,
"PackagedPOLSupplyProvider","HNS","110-POL-SUPPLYCO","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","21-TSC-HQ","110-POL-SUPPLYCO","2005-01-01 00:00:00",\N,
"FuelSupplyProvider","240-SSCO","12-AVNBDE","2005-01-01 00:00:00",\N,
"PackagedPOLSupplyProvider","240-SSCO","12-AVNBDE","2005-01-01 00:00:00",\N,
"SubsistenceSupplyProvider","240-SSCO","12-AVNBDE","2005-01-01 00:00:00",\N,
"SparePartsProvider","597-MAINTCO","12-AVNBDE","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","5-CORPS-REAR","12-AVNBDE","2005-01-01 00:00:00",\N,
"AmmunitionProvider","125-ORDBN","12-AVNBDE","2005-01-01 00:00:00",\N,
"FuelSupplyProvider","102-POL-SUPPLYCO","123-MSB","2005-01-01 00:00:00",\N,
"PackagedPOLSupplyProvider","102-POL-SUPPLYCO","123-MSB","2005-01-01 00:00:00",\N,
"SubsistenceSupplyProvider","227-SUPPLYCO","123-MSB","2005-01-01 00:00:00",\N,
"SparePartsProvider","565-RPRPTCO","123-MSB","2005-01-01 00:00:00",\N,
"AmmunitionProvider","592-ORDCO","123-MSB","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","1-AD","123-MSB","2005-01-01 00:00:00",\N,
"AmmunitionProvider","123-MSB","125-FSB","2005-01-01 00:00:00",\N,
"FuelSupplyProvider","123-MSB","125-FSB","2005-01-01 00:00:00",\N,
"PackagedPOLSupplyProvider","123-MSB","125-FSB","2005-01-01 00:00:00",\N,
"SparePartsProvider","123-MSB","125-FSB","2005-01-01 00:00:00",\N,
"SubsistenceSupplyProvider","123-MSB","125-FSB","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","1-AD","125-FSB","2005-01-01 00:00:00",\N,
"AmmunitionProvider","191-ORDBN","125-ORDBN","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","3-SUPCOM-HQ","125-ORDBN","2005-01-01 00:00:00",\N,
"AmmunitionProvider","123-MSB","127-DASB","2005-01-01 00:00:00",\N,
"FuelSupplyProvider","123-MSB","127-DASB","2005-01-01 00:00:00",\N,
"PackagedPOLSupplyProvider","123-MSB","127-DASB","2005-01-01 00:00:00",\N,
"SparePartsProvider","123-MSB","127-DASB","2005-01-01 00:00:00",\N,
"SubsistenceSupplyProvider","123-MSB","127-DASB","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","1-AD","127-DASB","2005-01-01 00:00:00",\N,
"FuelSupplyProvider","240-SSCO","130-ENGBDE","2005-01-01 00:00:00",\N,
"PackagedPOLSupplyProvider","240-SSCO","130-ENGBDE","2005-01-01 00:00:00",\N,
"SubsistenceSupplyProvider","240-SSCO","130-ENGBDE","2005-01-01 00:00:00",\N,
"SparePartsProvider","597-MAINTCO","130-ENGBDE","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","5-CORPS-REAR","130-ENGBDE","2005-01-01 00:00:00",\N,
"AmmunitionProvider","125-ORDBN","130-ENGBDE","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","1-AD","141-SIGBN","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","3-SUPCOM-HQ","15-PLS-TRKCO","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","3-SUPCOM-HQ","16-CSG","2005-01-01 00:00:00",\N,
"SparePartsProvider","501-FSB","16-ENGBN","2005-01-01 00:00:00",\N,
"SubsistenceSupplyProvider","501-FSB","16-ENGBN","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","1-AD","16-ENGBN","2005-01-01 00:00:00",\N,
"AmmunitionProvider","501-FSB","16-ENGBN","2005-01-01 00:00:00",\N,
"FuelSupplyProvider","501-FSB","16-ENGBN","2005-01-01 00:00:00",\N,
"PackagedPOLSupplyProvider","501-FSB","16-ENGBN","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","3-SUPCOM-HQ","18-MAINTBN","2005-01-01 00:00:00",\N,
"FuelSupplyProvider","240-SSCO","18-MPBDE","2005-01-01 00:00:00",\N,
"PackagedPOLSupplyProvider","240-SSCO","18-MPBDE","2005-01-01 00:00:00",\N,
"SubsistenceSupplyProvider","240-SSCO","18-MPBDE","2005-01-01 00:00:00",\N,
"SparePartsProvider","597-MAINTCO","18-MPBDE","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","5-CORPS-REAR","18-MPBDE","2005-01-01 00:00:00",\N,
"AmmunitionProvider","125-ORDBN","18-MPBDE","2005-01-01 00:00:00",\N,
"MaterielTransportProvider","28-TCBN","18-PERISH-SUBPLT","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","21-TSC-HQ","18-PERISH-SUBPLT","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","3-SUPCOM-HQ","181-TCBN","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","3-SUPCOM-HQ","19-MMC","2005-01-01 00:00:00",\N,
"AmmunitionProvider","OSC","191-ORDBN","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","21-TSC-HQ","191-ORDBN","2005-01-01 00:00:00",\N,
"SparePartsProvider","501-FSB","2-3-FABN","2005-01-01 00:00:00",\N,
"SubsistenceSupplyProvider","501-FSB","2-3-FABN","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","1-AD","2-3-FABN","2005-01-01 00:00:00",\N,
"AmmunitionProvider","501-FSB","2-3-FABN","2005-01-01 00:00:00",\N,
"FuelSupplyProvider","501-FSB","2-3-FABN","2005-01-01 00:00:00",\N,
"PackagedPOLSupplyProvider","501-FSB","2-3-FABN","2005-01-01 00:00:00",\N,
"SparePartsProvider","501-FSB","2-37-ARBN","2005-01-01 00:00:00",\N,
"SubsistenceSupplyProvider","501-FSB","2-37-ARBN","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","1-AD","2-37-ARBN","2005-01-01 00:00:00",\N,
"AmmunitionProvider","501-FSB","2-37-ARBN","2005-01-01 00:00:00",\N,
"FuelSupplyProvider","501-FSB","2-37-ARBN","2005-01-01 00:00:00",\N,
"PackagedPOLSupplyProvider","501-FSB","2-37-ARBN","2005-01-01 00:00:00",\N,
"AmmunitionProvider","125-ORDBN","2-4-FABN-MLRS","2005-01-01 00:00:00",\N,
"FuelSupplyProvider","240-SSCO","2-4-FABN-MLRS","2005-01-01 00:00:00",\N,
"PackagedPOLSupplyProvider","240-SSCO","2-4-FABN-MLRS","2005-01-01 00:00:00",\N,
"SubsistenceSupplyProvider","240-SSCO","2-4-FABN-MLRS","2005-01-01 00:00:00",\N,
"SparePartsProvider","597-MAINTCO","2-4-FABN-MLRS","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","5-CORPS-ARTY","2-4-FABN-MLRS","2005-01-01 00:00:00",\N,
"SparePartsProvider","127-DASB","2-501-AVNBN","2005-01-01 00:00:00",\N,
"SubsistenceSupplyProvider","127-DASB","2-501-AVNBN","2005-01-01 00:00:00",\N,
"StrategicTransportationProvider","1-AD","2-501-AVNBN","2005-01-01 00:00:00",\N,
"AmmunitionProvider","127-DASB","2-501-AVNBN","2005-01-01 00:00:00",\N,
"FuelSupplyProvider","127-DASB","2-501-AVNBN","2005-01-01 00:00:00",\N,
"PackagedPOLSupplyProvider","127-DASB","2-501-AVNBN","2005-01-01 00:00:00",\N,
"AmmunitionProvider","47-FSB","2-6-INFBN","2005-01-01 00:00:00",\N,
"FuelSupplyProvider","47-FSB","2-6-INFBN","2005-01-01 00:00:00",\N,
"PackagedPOLSupplyProvider","47-FSB","2-6-INFBN","2005-01-01 00:00:00",\N,
