COMPONENT_LIB_ID,AGENT_LIB_NAME,AGENT_ORG_CLASS,BLANK
"1BDE","1BDE","Organization",
"3-69-ARBN","3-69-ARBN","Organization",
"3ID","3ID","Organization",
"MCCGlobalMode","MCCGlobalMode","Organization",
