TID_ID,TI_ID,SHPPNG_CNFGRTN_CD,CGO_TP_CD,CGO_XTNT_CD,CGO_CNTZN_CD,MATERIEL_ITEM_IDENTIFIER,TYPE_PACK_CODE,TID_RDBL_CD,TID_LG_DM,TID_WDTH_DM,TID_EQ_TY_CD,TID_HT_DM,TID_WT,TID_VL,TID_CGO_CPCTY_QY,TID_MAX_LDED_HT_DM,TID_HVY_LFT_CD,TID_AR_CGO_LD_CD,TID_CB_DM,TID_MN_GND_CLNC_DM,TID_FTPRNT_AR,TID_PLZTN_CD,TID_CGO_CMPT_LG_DM,TID_CGO_CMPT_WD_DM,TID_CGO_CMPT_HT_DM,TID_CGOCMPBD_HT_DM,TID_CGO_BED_HT_DM,TID_WHL_BS_DM,TID_EMTY_LD_CLS_ID,TID_LDED_LD_CLS_ID,TID_MDL_ID,BLANK
1,G34805,B,R,2,D,2.33E+12,\N,R,130,86,6,48,1100,311,\N,48,A,\N,0,0,470,N,0,0,0,0,0,0,1,4,M707,
1,G34815,B,R,2,D,2.33E+12,\N,R,181,96,6,51,3350,513,\N,51,A,\N,0,0,1000,N,0,0,0,0,0,0,2,8,M689,
1,G35226,D,R,2,D,2.33E+12,\N,R,119,97,7,58,3450,388,\N,58,A,\N,0,17,1217,N,0,0,0,0,0,54,2,11,M198,
1,G35851,D,R,2,D,6.12E+12,\N,R,165,95,7,84,5700,762,\N,0,A,\N,112,0,0,N,0,0,0,0,0,0,3,3,PU-803,
1,G35919,D,R,2,D,6.12E+12,\N,R,165,95,7,84,5730,762,\N,0,A,\N,108,0,0,N,0,0,0,0,0,0,3,3,PU-804,
1,G37273,D,R,2,B,6.12E+12,\N,R,144,74,6,79,2840,488,\N,0,A,\N,103,0,0,N,0,0,0,0,0,0,2,2,PU-751/M,
1,G38140,D,A,3,B,6.12E+12,\N,N,50,45,6,34,400,45,\N,0,A,\N,0,0,0,Y,0,0,0,0,0,0,0,0,10KW DC 28V,
1,G40744,D,R,2,B,6.12E+12,\N,R,144,74,6,78,2525,481,\N,0,A,\N,103,0,0,N,0,0,0,0,0,0,1,1,PU-753/M,
1,G42170,D,R,2,B,6.12E+12,\N,R,147,84,6,76,2570,543,\N,0,A,\N,0,0,0,N,0,0,0,0,0,0,2,2,PU-798,
1,G42238,D,R,2,B,6.12E+12,\N,R,147,84,6,76,2320,543,\N,0,A,\N,0,0,0,N,0,0,0,0,0,0,1,1,PU-797,
1,G53403,D,R,2,B,6.12E+12,\N,R,147,84,6,76,2670,543,\N,0,A,\N,0,0,0,N,0,0,0,0,0,0,2,2,PU-799,
1,G53778,D,R,2,D,6.12E+12,\N,R,165,95,6,84,4920,762,\N,0,A,\N,0,0,0,N,0,0,0,0,0,0,3,3,PU-802,
1,G53871,D,R,2,D,6.12E+12,\N,R,165,93,7,95,5710,844,\N,0,A,\N,0,0,0,N,0,0,0,0,0,0,3,3,PU-760/M,
1,G74783,B,A,1,D,3.81E+12,\N,N,327,95,8,127,31300,2284,\N,0,C,\N,0,14,0,N,0,0,0,0,0,0,0,0,CCE 130G,
