ORG_ID,UNIT_IDENTIFIER,MILITARY_ORGANIZATION_CODE,UL_CD,UN_ABBRD_NM,GELOC_CD,UNT_CD,UN_CMP_CD,UN_NM
3-13-FABN-155,WG1DAA,A,BN,"FA BN  03  MLRS",HKNN,11UNN,R,3D BATTALION 13TH FIELD ARTILLERY
3-BDE-1-AD,WAHEAA,A,HHC,"AR HHC 03 BDE 1",HKBN,2EUTT,R,3D BRIGADE 1ST ARMORED DIVISION HHC
3-SUPCOM-HQ,WBG0AA,A,HHC,"LG HHC    CORPS",YRBU,NVUTT,R,3D CORPS SUPPORT COMD HHC
30-MEDBDE,WBG7AA,A,HHD,"MD BDE    CBTZ",KKLE,F5A22,R,30TH MEDICAL BRIGADE
316-POL-SUPPLYBN,WSRPAA,A,HHD,"QM HHD    BN PE",HNRX,JFXNN,G,316TH QUARTERMASTER BN HHC
317-MAINTCO,WET9AA,A,CO,"CS CO     MNT N",YKLA,HH6NN,R,317TH MAINTENANCE CO
343-SUPPLYCO,WSS7AA,A,CO,"CS CO     GS SU",UJGP,JUUTT,G,343D QUARTERMASTER COMPANY
37-TRANSGP,WCJZAA,A,HHC,"TC HHD    GRP M",MJPG,UWAAA,R,37TH TRANSPORTATION GP HHD
372-CGO-TRANSCO,WFSRAA,A,CO,"TC CO     TERMI",HDBL,JLTTT,R,372D TRANSPORTATION CO
377-HVY-TRKCO,WCMBAA,A,CO,"TC CO     HEAVY",FRBC,U6477,R,377TH TRANSPORTATION CO
4-1-FABN,WH9UAA,A,BN,"FA BN  04 155 S",HKBN,16WVV,R,4TH BATTALION 1ST FIELD ARTILLERY
4-27-FABN,WH28AA,A,BN,"FA BN  04",VTYA,17WVV,R,"4TH BATTALION,  27TH FIELD ARTILLERY"
40-ENGBN,WDKXAA,A,BN,"EN BN     HVY D",WJUE,4YD77,R,40TH ENGINEER BN
41-FABDE,WA00AA,A,HHB,"FA HHB    BDE",ASYB,1FHEE,R,41ST FIELD ARTILLERY BDE HHB
41-POL-TRKCO,WCMPAA,A,CO,"TC CO     MDM T",VXWV,UZ477,R,TC CO     MDM T
406-SUPPLYCO,WEVHAA,A,CO,"CS CO     GENER",HCTL,JLTTT,R,406TH SUPPLY CO
416-POL-TRKCO,WNCNAA,A,CO,"TC CO     TRANS",LEXG,U7BNN,R,TC CO     TRANS
452-ORDCO,WQ56AA,A,CO,"OD CO     AMMO",AAKM,JD4ZZ,G,452D ORDNANCE CO
47-FSB,WH98AA,A,BN,"CS BN     SPT C",VTYA,NHTTT,R,47TH SUPPORT BN
485-CSB,WB0UAA,A,HHD,"CS BN     MNT D",LGKU,N21VV,R,485TH SUPPORT BN HHD
5-CORPS,WAT6AA,A,HHC,"HQ HHC    CORPS",CYWK,CXE77,R,V CORPS HHC
5-CORPS-ARTY,WA0TAA,A,HHB,"FA HHB    CORPS",YRBU,14C77,R,V CORPS ARTILLERY HHB
5-MAINTCO,WB1XAA,A,CO,"CS CO     MAINT",UDKL,HH6NN,R,5TH MAINTENANCE CO
501-FSB,WH96AA,A,BN,"CS BN     FSB S",TZUX,NZH33,R,501ST SUPPORT BN
