ASSEMBLY_ID,COMMUNITY_ID,ENTITY_ID,ATTRIBUTE_ID,ATTRIBUTE_VALUE
DEFAULT_COMMUNITY_CONFIG,16-CSG-COMM,227-SUPPLYCO,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,16-CSG-COMM,227-SUPPLYCO,Role,Member
DEFAULT_COMMUNITY_CONFIG,16-CSG-COMM,238-POL-TRKCO,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,16-CSG-COMM,238-POL-TRKCO,Role,Member
DEFAULT_COMMUNITY_CONFIG,16-CSG-COMM,26-SSCO,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,16-CSG-COMM,26-SSCO,Role,Member
DEFAULT_COMMUNITY_CONFIG,16-CSG-COMM,263-FLDSVC-CO,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,16-CSG-COMM,263-FLDSVC-CO,Role,Member
DEFAULT_COMMUNITY_CONFIG,16-CSG-COMM,372-CGO-TRANSCO,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,16-CSG-COMM,372-CGO-TRANSCO,Role,Member
DEFAULT_COMMUNITY_CONFIG,16-CSG-COMM,485-CSB,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,16-CSG-COMM,485-CSB,Role,Member
DEFAULT_COMMUNITY_CONFIG,16-CSG-COMM,588-MAINTCO,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,16-CSG-COMM,588-MAINTCO,Role,Member
DEFAULT_COMMUNITY_CONFIG,16-CSG-COMM,592-ORDCO,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,16-CSG-COMM,592-ORDCO,Role,Member
DEFAULT_COMMUNITY_CONFIG,16-CSG-COMM,594-MDM-TRKCO,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,16-CSG-COMM,594-MDM-TRKCO,Role,Member
DEFAULT_COMMUNITY_CONFIG,16-CSG-COMM,596-MAINTCO,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,16-CSG-COMM,596-MAINTCO,Role,Member
DEFAULT_COMMUNITY_CONFIG,16-CSG-COMM,77-MAINTCO,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,16-CSG-COMM,77-MAINTCO,Role,Member
DEFAULT_COMMUNITY_CONFIG,2-BDE-1-AD-COMM,1-35-ARBN,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,2-BDE-1-AD-COMM,1-35-ARBN,Role,Member
DEFAULT_COMMUNITY_CONFIG,2-BDE-1-AD-COMM,1-6-INFBN,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,2-BDE-1-AD-COMM,1-6-INFBN,Role,Member
DEFAULT_COMMUNITY_CONFIG,2-BDE-1-AD-COMM,2-6-INFBN,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,2-BDE-1-AD-COMM,2-6-INFBN,Role,Member
DEFAULT_COMMUNITY_CONFIG,2-BDE-1-AD-COMM,2-BDE-1-AD,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,2-BDE-1-AD-COMM,2-BDE-1-AD,Role,Member
DEFAULT_COMMUNITY_CONFIG,2-BDE-1-AD-COMM,4-27-FABN,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,2-BDE-1-AD-COMM,4-27-FABN,Role,Member
DEFAULT_COMMUNITY_CONFIG,2-BDE-1-AD-COMM,40-ENGBN,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,2-BDE-1-AD-COMM,40-ENGBN,Role,Member
DEFAULT_COMMUNITY_CONFIG,2-BDE-1-AD-COMM,47-FSB,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,2-BDE-1-AD-COMM,47-FSB,Role,Member
DEFAULT_COMMUNITY_CONFIG,21-TSC-COMM,200-MMC,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,21-TSC-COMM,200-MMC,Role,Member
DEFAULT_COMMUNITY_CONFIG,21-TSC-COMM,21-TSC-HQ,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,21-TSC-COMM,21-TSC-HQ,Role,Member
DEFAULT_COMMUNITY_CONFIG,21-TSC-COMM,29-SPTGP-COMM,MemberType,Community
DEFAULT_COMMUNITY_CONFIG,21-TSC-COMM,29-SPTGP-COMM,Role,Member
DEFAULT_COMMUNITY_CONFIG,21-TSC-COMM,37-TRANSGP-COMM,MemberType,Community
DEFAULT_COMMUNITY_CONFIG,21-TSC-COMM,37-TRANSGP-COMM,Role,Member
DEFAULT_COMMUNITY_CONFIG,21-TSC-COMM,7-TCGP-TPTDD,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,21-TSC-COMM,7-TCGP-TPTDD,Role,Member
DEFAULT_COMMUNITY_CONFIG,21-TSC-COMM,AWR-2,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,21-TSC-COMM,AWR-2,Role,Member
DEFAULT_COMMUNITY_CONFIG,21-TSC-COMM,RSA,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,21-TSC-COMM,RSA,Role,Member
DEFAULT_COMMUNITY_CONFIG,29-SPTGP-COMM,18-PERISH-SUBPLT,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,29-SPTGP-COMM,18-PERISH-SUBPLT,Role,Member
DEFAULT_COMMUNITY_CONFIG,29-SPTGP-COMM,191-ORDBN,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,29-SPTGP-COMM,191-ORDBN,Role,Member
DEFAULT_COMMUNITY_CONFIG,29-SPTGP-COMM,23-ORDCO,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,29-SPTGP-COMM,23-ORDCO,Role,Member
DEFAULT_COMMUNITY_CONFIG,29-SPTGP-COMM,24-ORDCO,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,29-SPTGP-COMM,24-ORDCO,Role,Member
DEFAULT_COMMUNITY_CONFIG,29-SPTGP-COMM,29-SPTGP,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,29-SPTGP-COMM,29-SPTGP,Role,Member
DEFAULT_COMMUNITY_CONFIG,29-SPTGP-COMM,343-SUPPLYCO,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,29-SPTGP-COMM,343-SUPPLYCO,Role,Member
DEFAULT_COMMUNITY_CONFIG,29-SPTGP-COMM,5-MAINTCO,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,29-SPTGP-COMM,5-MAINTCO,Role,Member
DEFAULT_COMMUNITY_CONFIG,29-SPTGP-COMM,51-MAINTBN,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,29-SPTGP-COMM,51-MAINTBN,Role,Member
DEFAULT_COMMUNITY_CONFIG,29-SPTGP-COMM,512-MAINTCO,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,29-SPTGP-COMM,512-MAINTCO,Role,Member
DEFAULT_COMMUNITY_CONFIG,29-SPTGP-COMM,574-SSCO,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,29-SPTGP-COMM,574-SSCO,Role,Member
DEFAULT_COMMUNITY_CONFIG,29-SPTGP-COMM,702-EODDET,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,29-SPTGP-COMM,702-EODDET,Role,Member
DEFAULT_COMMUNITY_CONFIG,29-SPTGP-COMM,720-EODDET,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,29-SPTGP-COMM,720-EODDET,Role,Member
DEFAULT_COMMUNITY_CONFIG,3-BDE-1-AD-COMM,1-13-ARBN,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,3-BDE-1-AD-COMM,1-13-ARBN,Role,Member
DEFAULT_COMMUNITY_CONFIG,3-BDE-1-AD-COMM,1-41-INFBN,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,3-BDE-1-AD-COMM,1-41-INFBN,Role,Member
DEFAULT_COMMUNITY_CONFIG,3-BDE-1-AD-COMM,125-FSB,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,3-BDE-1-AD-COMM,125-FSB,Role,Member
DEFAULT_COMMUNITY_CONFIG,3-BDE-1-AD-COMM,2-70-ARBN,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,3-BDE-1-AD-COMM,2-70-ARBN,Role,Member
DEFAULT_COMMUNITY_CONFIG,3-BDE-1-AD-COMM,3-BDE-1-AD,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,3-BDE-1-AD-COMM,3-BDE-1-AD,Role,Member
DEFAULT_COMMUNITY_CONFIG,3-BDE-1-AD-COMM,4-1-FABN,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,3-BDE-1-AD-COMM,4-1-FABN,Role,Member
DEFAULT_COMMUNITY_CONFIG,3-BDE-1-AD-COMM,70-ENGBN,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,3-BDE-1-AD-COMM,70-ENGBN,Role,Member
DEFAULT_COMMUNITY_CONFIG,3-SUPCOM-COMM,16-CSG-COMM,MemberType,Community
DEFAULT_COMMUNITY_CONFIG,3-SUPCOM-COMM,16-CSG-COMM,Role,Member
DEFAULT_COMMUNITY_CONFIG,3-SUPCOM-COMM,19-MMC,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,3-SUPCOM-COMM,19-MMC,Role,Member
DEFAULT_COMMUNITY_CONFIG,3-SUPCOM-COMM,208-SCCO,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,3-SUPCOM-COMM,208-SCCO,Role,Member
DEFAULT_COMMUNITY_CONFIG,3-SUPCOM-COMM,27-TCBN-MVTCTRL,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,3-SUPCOM-COMM,27-TCBN-MVTCTRL,Role,Member
DEFAULT_COMMUNITY_CONFIG,3-SUPCOM-COMM,3-SUPCOM-HQ,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,3-SUPCOM-COMM,3-SUPCOM-HQ,Role,Member
DEFAULT_COMMUNITY_CONFIG,3-SUPCOM-COMM,7-CSG-COMM,MemberType,Community
DEFAULT_COMMUNITY_CONFIG,3-SUPCOM-COMM,7-CSG-COMM,Role,Member
DEFAULT_COMMUNITY_CONFIG,37-TRANSGP-COMM,109-MDM-TRKCO,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,37-TRANSGP-COMM,109-MDM-TRKCO,Role,Member
DEFAULT_COMMUNITY_CONFIG,37-TRANSGP-COMM,110-POL-SUPPLYCO,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,37-TRANSGP-COMM,110-POL-SUPPLYCO,Role,Member
DEFAULT_COMMUNITY_CONFIG,37-TRANSGP-COMM,28-TCBN,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,37-TRANSGP-COMM,28-TCBN,Role,Member
DEFAULT_COMMUNITY_CONFIG,37-TRANSGP-COMM,37-TRANSGP,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,37-TRANSGP-COMM,37-TRANSGP,Role,Member
DEFAULT_COMMUNITY_CONFIG,37-TRANSGP-COMM,416-POL-TRKCO,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,37-TRANSGP-COMM,416-POL-TRKCO,Role,Member
DEFAULT_COMMUNITY_CONFIG,37-TRANSGP-COMM,6-TCBN,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,37-TRANSGP-COMM,6-TCBN,Role,Member
DEFAULT_COMMUNITY_CONFIG,37-TRANSGP-COMM,632-MAINTCO,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,37-TRANSGP-COMM,632-MAINTCO,Role,Member
DEFAULT_COMMUNITY_CONFIG,37-TRANSGP-COMM,66-MDM-TRKCO,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,37-TRANSGP-COMM,66-MDM-TRKCO,Role,Member
DEFAULT_COMMUNITY_CONFIG,37-TRANSGP-COMM,68-MDM-TRKCO,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,37-TRANSGP-COMM,68-MDM-TRKCO,Role,Member
DEFAULT_COMMUNITY_CONFIG,5-CORPS-ARTY-COMM,1-27-FABN,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,5-CORPS-ARTY-COMM,1-27-FABN,Role,Member
DEFAULT_COMMUNITY_CONFIG,5-CORPS-ARTY-COMM,2-4-FABN-MLRS,MemberType,Agent
DEFAULT_COMMUNITY_CONFIG,5-CORPS-ARTY-COMM,2-4-FABN-MLRS,Role,Member
