RLN,SERVICE_CODE,UIC,ULC,UTC,UNIT_NAME,DESCRIPTION,NUM_PAX,ORIGIN_GEOLOC,ORIGIN_NAME,POE_GEOLOC,POE_NAME,POD_GEOLOC,POD_NAME,DEST_GEOLOC,DEST_NAME,RLD_ORIGIN,ALD_POE,EAD_POD,LAD_POD,RDD_DEST,BLANK
"7JANZ","M",\N,"PER","9GUAP","H&S CO  INF BN/AMPHIB TF","H&S CO  INF BN/ AU",270.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-6.000000000000000000000000000000,-5.000000000000000000000000000000,-4.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7JAPZ","M",\N,"PER","0GVAP","RIFLE CO  INF BN/AMPHIB TF","RIFLE CO  INF B AU",182.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-6.000000000000000000000000000000,-5.000000000000000000000000000000,-4.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7JAQZ","M",\N,"PER","0GVAP","RIFLE CO  INF BN/AMPHIB TF","RIFLE CO  INF B AU",182.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-6.000000000000000000000000000000,-5.000000000000000000000000000000,-4.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7JARZ","M",\N,"PER","0GVAP","RIFLE CO  INF BN/AMPHIB TF","RIFLE CO  INF B AU",182.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-6.000000000000000000000000000000,-5.000000000000000000000000000000,-4.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7JASZ","M",\N,"PER","0GVGP","WPNS CO  INF BN/AMPHIB TF","WPNS CO  INF BN AU",154.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-6.000000000000000000000000000000,-5.000000000000000000000000000000,-4.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7JAYZ","M",\N,"BN","1HDAA","ARTY BN (REIN)","ARTILLERY BN   VA",1.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-6.000000000000000000000000000000,-5.000000000000000000000000000000,-4.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7JAZZ","M",\N,"PER","9HLHP","HQ BTY  ARTY BN/AMPHIB TF","DET  HQ BTY  AR AU",1.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-6.000000000000000000000000000000,-5.000000000000000000000000000000,-4.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7JBAZ","M",\N,"PER","1HJAP","155MM ARTY BTRY/AMPHIB TF","155 MM ARTY BTR AU",147.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-6.000000000000000000000000000000,-5.000000000000000000000000000000,-4.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7JBBZ","M",\N,"PER","1HJAP","155MM ARTY BTRY/AMPHIB TF","155 MM ARTY BTR AU",147.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-6.000000000000000000000000000000,-5.000000000000000000000000000000,-4.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7JBCZ","M",\N,"PER","1HJAP","155MM ARTY BTRY/AMPHIB TF","155 MM ARTY BTR AU",147.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-6.000000000000000000000000000000,-5.000000000000000000000000000000,-4.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7JBDZ","M",\N,"PER","1HJAP","155MM ARTY BTRY/AMPHIB TF","155 MM ARTY BTR AU",147.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-6.000000000000000000000000000000,-5.000000000000000000000000000000,-4.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7JBEZ","M",\N,"PER","1HJAP","155MM ARTY BTRY/AMPHIB TF","155 MM ARTY BTR AU",147.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-6.000000000000000000000000000000,-5.000000000000000000000000000000,-4.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HAAC","M",\N,"RGT","0GQGB","6TH MARINE REGIMENT","INFANTRY REGIMEVA",0.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HAAP","M",\N,"RGT","0GQGB","6TH MARINE REGIMENT","INFANTRY REGIMEVA",1.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HABC","M",\N,"PER","9GSAP","HQ CO  INF REGT AU","HQ CO  INF REGT AU",0.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HABP","M",\N,"PER","9GSAP","HQ CO  INF REGT AU","HQ CO  INF REGT AU",302.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HACC","M",\N,"PER","9GUAP","H&S CO  INF BN/ AU","H&S CO  INF BN/ AU",0.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HACP","M",\N,"PER","9GUAP","H&S CO  INF BN/ AU","H&S CO  INF BN/ AU",270.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HADC","M",\N,"PER","0GVAP","RIFLE CO  INF B AU","RIFLE CO  INF B AU",0.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HADP","M",\N,"PER","0GVAP","RIFLE CO  INF B AU","RIFLE CO  INF B AU",182.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HAEC","M",\N,"PER","0GVAP","RIFLE CO  INF B AU","RIFLE CO  INF B AU",0.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HAEP","M",\N,"PER","0GVAP","RIFLE CO  INF B AU","RIFLE CO  INF B AU",182.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HAFC","M",\N,"PER","0GVAP","RIFLE CO  INF B AU","RIFLE CO  INF B AU",0.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HAFP","M",\N,"PER","0GVAP","RIFLE CO  INF B AU","RIFLE CO  INF B AU",182.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HAGC","M",\N,"PER","0GVGP","WPNS CO  INF BN AU","WPNS CO  INF BN AU",0.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HAGP","M",\N,"PER","0GVGP","WPNS CO  INF BN AU","WPNS CO  INF BN AU",154.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HAHC","M",\N,"PER","9GUAP","H&S CO  INF BN/ AU","H&S CO  INF BN/ AU",0.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HAHP","M",\N,"PER","9GUAP","H&S CO  INF BN/ AU","H&S CO  INF BN/ AU",270.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HAJC","M",\N,"PER","0GVAP","RIFLE CO  INF B AU","RIFLE CO  INF B AU",0.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HAJP","M",\N,"PER","0GVAP","RIFLE CO  INF B AU","RIFLE CO  INF B AU",182.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HAKC","M",\N,"PER","0GVAP","RIFLE CO  INF B AU","RIFLE CO  INF B AU",0.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HAKP","M",\N,"PER","0GVAP","RIFLE CO  INF B AU","RIFLE CO  INF B AU",182.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HALC","M",\N,"PER","0GVAP","RIFLE CO  INF B AU","RIFLE CO  INF B AU",0.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HALP","M",\N,"PER","0GVAP","RIFLE CO  INF B AU","RIFLE CO  INF B AU",182.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HAMC","M",\N,"PER","0GVGP","WPNS CO  INF BN AU","WPNS CO  INF BN AU",0.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HAMP","M",\N,"PER","0GVGP","WPNS CO  INF BN AU","WPNS CO  INF BN AU",154.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HANC","M",\N,"PER","9GUAP","H&S CO  INF BN/ AU","H&S CO  INF BN/ AU",0.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HANP","M",\N,"PER","9GUAP","H&S CO  INF BN/ AU","H&S CO  INF BN/ AU",270.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HAPC","M",\N,"PER","0GVAP","RIFLE CO  INF B AU","RIFLE CO  INF B AU",0.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HAPP","M",\N,"PER","0GVAP","RIFLE CO  INF B AU","RIFLE CO  INF B AU",182.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HAQC","M",\N,"PER","0GVAP","RIFLE CO  INF B AU","RIFLE CO  INF B AU",0.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HAQP","M",\N,"PER","0GVAP","RIFLE CO  INF B AU","RIFLE CO  INF B AU",182.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HARC","M",\N,"PER","0GVAP","RIFLE CO  INF B AU","RIFLE CO  INF B AU",0.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HARP","M",\N,"PER","0GVAP","RIFLE CO  INF B AU","RIFLE CO  INF B AU",182.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HASC","M",\N,"PER","0GVGP","WPNS CO  INF BN AU","WPNS CO  INF BN AU",0.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HASP","M",\N,"PER","0GVGP","WPNS CO  INF BN AU","WPNS CO  INF BN AU",154.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HAYC","M",\N,"BN","1HDAA","ARTILLERY BN   VA","ARTILLERY BN   VA",0.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HAYP","M",\N,"BN","1HDAA","ARTILLERY BN   VA","ARTILLERY BN   VA",1.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HAZC","M",\N,"PER","9HLHP","DET  HQ BTY  AR AU","DET  HQ BTY  AR AU",0.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HAZP","M",\N,"PER","9HLHP","DET  HQ BTY  AR AU","DET  HQ BTY  AR AU",1.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HBAC","M",\N,"PER","1HJAP","155 MM ARTY BTR AU","155 MM ARTY BTR AU",0.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HBAP","M",\N,"PER","1HJAP","155 MM ARTY BTR AU","155 MM ARTY BTR AU",147.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HBBC","M",\N,"PER","1HJAP","155 MM ARTY BTR AU","155 MM ARTY BTR AU",0.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HBBP","M",\N,"PER","1HJAP","155 MM ARTY BTR AU","155 MM ARTY BTR AU",147.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HBCC","M",\N,"PER","1HJAP","155 MM ARTY BTR AU","155 MM ARTY BTR AU",0.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HBCP","M",\N,"PER","1HJAP","155 MM ARTY BTR AU","155 MM ARTY BTR AU",147.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HBDC","M",\N,"PER","1HJAP","155 MM ARTY BTR AU","155 MM ARTY BTR AU",0.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HBDP","M",\N,"PER","1HJAP","155 MM ARTY BTR AU","155 MM ARTY BTR AU",147.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HBEC","M",\N,"PER","1HJAP","155 MM ARTY BTR AU","155 MM ARTY BTR AU",0.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7HBEP","M",\N,"PER","1HJAP","155 MM ARTY BTR AU","155 MM ARTY BTR AU",147.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-5.000000000000000000000000000000,-4.000000000000000000000000000000,-3.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7GAAC","M",\N,"RGT","0GQGB","2ND MARINE REGIMENT","INFANTRY REGIMEVA",0.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-4.000000000000000000000000000000,-3.000000000000000000000000000000,-2.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7GAAP","M",\N,"RGT","0GQGB","2RD MARINE REGIMENT","INFANTRY REGIMEVA",1.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-4.000000000000000000000000000000,-3.000000000000000000000000000000,-2.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7GABC","M",\N,"PER","9GSAP","HQ CO  INF REGT AU","HQ CO  INF REGT AU",0.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-4.000000000000000000000000000000,-3.000000000000000000000000000000,-2.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7GABP","M",\N,"PER","9GSAP","HQ CO  INF REGT AU","HQ CO  INF REGT AU",302.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-4.000000000000000000000000000000,-3.000000000000000000000000000000,-2.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7GACC","M",\N,"PER","9GUAP","H&S CO  INF BN/ AU","H&S CO  INF BN/ AU",0.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-4.000000000000000000000000000000,-3.000000000000000000000000000000,-2.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7GACP","M",\N,"PER","9GUAP","H&S CO  INF BN/ AU","H&S CO  INF BN/ AU",270.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-4.000000000000000000000000000000,-3.000000000000000000000000000000,-2.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7GADC","M",\N,"PER","0GVAP","RIFLE CO  INF B AU","RIFLE CO  INF B AU",0.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-4.000000000000000000000000000000,-3.000000000000000000000000000000,-2.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7GADP","M",\N,"PER","0GVAP","RIFLE CO  INF B AU","RIFLE CO  INF B AU",182.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-4.000000000000000000000000000000,-3.000000000000000000000000000000,-2.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7GAEC","M",\N,"PER","0GVAP","RIFLE CO  INF B AU","RIFLE CO  INF B AU",0.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-4.000000000000000000000000000000,-3.000000000000000000000000000000,-2.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7GAEP","M",\N,"PER","0GVAP","RIFLE CO  INF B AU","RIFLE CO  INF B AU",182.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-4.000000000000000000000000000000,-3.000000000000000000000000000000,-2.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7GAFC","M",\N,"PER","0GVAP","RIFLE CO  INF B AU","RIFLE CO  INF B AU",0.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-4.000000000000000000000000000000,-3.000000000000000000000000000000,-2.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7GAFP","M",\N,"PER","0GVAP","RIFLE CO  INF B AU","RIFLE CO  INF B AU",182.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-4.000000000000000000000000000000,-3.000000000000000000000000000000,-2.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7GAGC","M",\N,"PER","0GVGP","WPNS CO  INF BN AU","WPNS CO  INF BN AU",0.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-4.000000000000000000000000000000,-3.000000000000000000000000000000,-2.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7GAGP","M",\N,"PER","0GVGP","WPNS CO  INF BN AU","WPNS CO  INF BN AU",154.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-4.000000000000000000000000000000,-3.000000000000000000000000000000,-2.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
"7GAHC","M",\N,"PER","9GUAP","H&S CO  INF BN/ AU","H&S CO  INF BN/ AU",0.000000000000000000000000000000,"ETFB","Cp Lejeune","RQWP","New River Mcas","LQCJ","Iskenderun","LQCN","Iskenderun",-4.000000000000000000000000000000,-3.000000000000000000000000000000,-2.000000000000000000000000000000,15.000000000000000000000000000000,15.000000000000000000000000000000
