RLN,SERVICE_CODE,UIC,ULC,UTC,UNIT_NAME,DESCRIPTION,NUM_PAX,ORIGIN_GEOLOC,ORIGIN_NAME,POE_GEOLOC,POE_NAME,POD_GEOLOC,POD_NAME,DEST_GEOLOC,DEST_NAME,RLD_ORIGIN,ALD_POE,EAD_POD,LAD_POD,RDD_DEST,BLANK
"SABGC","A","WE0KAA","TM","UMN66","309th TC DET","LIGHTER AMPHIBIOUS LARC LX",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","QBAL","Mersin",\N,\N,\N,\N,\N
"SABHC","A","WFCAAA","TM","UKZVV","396th TC TML DET","TM DET",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","QBAL","Mersin",\N,\N,\N,\N,\N
"SABJC","A","WHEHAA","TM","USZVV","358th TC AUTOMATED CARGO DOC","(1T) AUTOMATED CARGO DOC",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","QBAL","Mersin",\N,\N,\N,\N,\N
"SAC0C","A","WCQAAA","CO","UHBNN","155th TC TML SVC","T TML SVC CO  CNTNR BB",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","LQCN","Iskenderun",\N,\N,\N,\N,\N
"SAC1C","A","WCQKAA","PLT","UQU77","149th TC HVY CRANE","HEAVY CRANE PLATOON",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","LQCN","Iskenderun",\N,\N,\N,\N,\N
"SAC2C","A","WCRUAA","TM","UAQEE","1099th TC LSV","LOGISTICS SUPPORT VESSEL",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","QBAL","Mersin",\N,\N,\N,\N,\N
"SAC2P","A","WCRUAA","TM","UAQEE","1099th TC LSV","LOGISTICS SUPPORT VESSEL",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","QBAL","Mersin",\N,\N,\N,\N,\N
"SAC3C","A","WHECAA","TM","URZVV","160th TC TRANS CONTRACT SUPERV","(3T) TRANS CONTRACT SUPERVISIO",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","QBAL","Mersin",\N,\N,\N,\N,\N
"SAC4C","A","WC6GAA","TM","UAQEE","411th TC LSV","LOGISTICS SUPPORT VESSEL",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","QBAL","Mersin",\N,\N,\N,\N,\N
"SAC4P","A","WC6GAA","TM","UAQEE","411th TC LSV","LOGISTICS SUPPORT VESSEL",0.000000000000000000000000000000,\N,"Unknown",\N,"Unknown",\N,"Unknown","QBAL","Mersin",\N,\N,\N,\N,\N
