ASSEMBLY_ID,ASSEMBLY_TYPE,DESCRIPTION,BLANK
"CSA-0001","CSA","minitestconfig",
"COMM-0001","COMM","COMM assembly",
"CSHNA-0001","CSHNA","CSHNA assembly",
"CSMI-0001","CSMI","CSMI assembly",
