PLUGIN_GROUP_ID,PLUGIN_GROUP_ORDER,DESCRIPTION,BLANK
"DIVPolicy",0.000000000000000000000000000000,\N
"NCAPolicy",5.000000000000000000000000000000,\N
"PrototypeProvider",10.000000000000000000000000000000,\N
"PartsAssets",15.000000000000000000000000000000,\N
"SubsistenceAssets",20.000000000000000000000000000000,\N
"XMLAssetPrototype",25.000000000000000000000000000000,\N
"AntsAssets",30.000000000000000000000000000000,\N
"PrepoAssets",35.000000000000000000000000000000,\N
"Org",40.000000000000000000000000000000,\N
"GetOPlan",45.000000000000000000000000000000,\N
"GLS",50.000000000000000000000000000000,\N
"GLSInit",55.000000000000000000000000000000,\N
"StrategicTransport",60.000000000000000000000000000000,\N
"GenericTableAllocator",65.000000000000000000000000000000,\N
"UniversalAllocator",70.000000000000000000000000000000,\N
"UniversalExpander",75.000000000000000000000000000000,\N
"TheaterConstruction",80.000000000000000000000000000000,\N
"UI",85.000000000000000000000000000000,\N
"Demand",90.000000000000000000000000000000,\N
"SubsistenceDemand",95.000000000000000000000000000000,\N
"InventoryManagement",100.000000000000000000000000000000,\N
"SubsistenceInventoryManagement",105.000000000000000000000000000000,\N
"InventoryPolicy",110.000000000000000000000000000000,\N
"FeedingPolicy",115.000000000000000000000000000000,\N
"Sourcing",120.000000000000000000000000000000,\N
"BlackJack-Sourcing",125.000000000000000000000000000000,\N
"DLAHQ",130.000000000000000000000000000000,\N
"ICP",135.000000000000000000000000000000,\N
"PolicyTransfer",140.000000000000000000000000000000,\N
"ConstructionExpander",145.000000000000000000000000000000,\N
"TriggerManager",150.000000000000000000000000000000,\N
"StrategicTransportProvider",155.000000000000000000000000000000,\N
"TheaterTransportProvider",160.000000000000000000000000000000,\N
"TheaterTransportProviderVishnu",165.000000000000000000000000000000,\N
"AmmoPacking",170.000000000000000000000000000000,\N
"LDMSQLAssets",175.000000000000000000000000000000,\N
"GLMTrans_AssetInstance",180.000000000000000000000000000000,\N
"GLMTrans_TRANSCOM",185.000000000000000000000000000000,\N
"GLMTrans_GlobalAir",190.000000000000000000000000000000,\N
"GLMTrans_GlobalSea",195.000000000000000000000000000000,\N
"GLMTrans_GroundTransport",200.000000000000000000000000000000,\N
"GLMTrans_PlanePacker",205.000000000000000000000000000000,\N
"GLMTrans_ShipPacker",210.000000000000000000000000000000,\N
